Code,UTLA,Region,Timestamp,Confirmed
E09000002,Barking and Dagenham,London,2020-04-19 13:13:47.817223+00:00,393
E09000003,Barnet,London,2020-04-19 13:13:47.817223+00:00,1069
E08000016,Barnsley,Yorkshire and The Humber,2020-04-19 13:13:47.817223+00:00,454
E06000022,Bath and North East Somerset,South West,2020-04-19 13:13:47.817223+00:00,166
E06000055,Bedford,East of England,2020-04-19 13:13:47.817223+00:00,289
E09000004,Bexley,London,2020-04-19 13:13:47.817223+00:00,501
E08000025,Birmingham,West Midlands,2020-04-19 13:13:47.817223+00:00,2243
E06000008,Blackburn with Darwen,North West,2020-04-19 13:13:47.817223+00:00,222
E06000009,Blackpool,North West,2020-04-19 13:13:47.817223+00:00,224
E08000001,Bolton,North West,2020-04-19 13:13:47.817223+00:00,545
E06000058,"Bournemouth, Christchurch and Poole",South West,2020-04-19 13:13:47.817223+00:00,308
E06000036,Bracknell Forest,South East,2020-04-19 13:13:47.817223+00:00,155
E08000032,Bradford,Yorkshire and The Humber,2020-04-19 13:13:47.817223+00:00,564
E09000005,Brent,London,2020-04-19 13:13:47.817223+00:00,1182
E06000043,Brighton and Hove,South East,2020-04-19 13:13:47.817223+00:00,292
E06000023,"Bristol, City of",South West,2020-04-19 13:13:47.817223+00:00,454
E09000006,Bromley,London,2020-04-19 13:13:47.817223+00:00,900
E10000002,Buckinghamshire,South East,2020-04-19 13:13:47.817223+00:00,613
E08000002,Bury,North West,2020-04-19 13:13:47.817223+00:00,309
E08000033,Calderdale,Yorkshire and The Humber,2020-04-19 13:13:47.817223+00:00,189
E10000003,Cambridgeshire,East of England,2020-04-19 13:13:47.817223+00:00,502
E09000007,Camden,London,2020-04-19 13:13:47.817223+00:00,501
E06000056,Central Bedfordshire,East of England,2020-04-19 13:13:47.817223+00:00,360
E06000049,Cheshire East,North West,2020-04-19 13:13:47.817223+00:00,588
E06000050,Cheshire West and Chester,North West,2020-04-19 13:13:47.817223+00:00,546
E09000001,City of London,London,2020-04-19 13:13:47.817223+00:00,13
E06000052,Cornwall and Isles of Scilly,South West,2020-04-19 13:13:47.817223+00:00,396
E06000047,County Durham,North East,2020-04-19 13:13:47.817223+00:00,894
E08000026,Coventry,West Midlands,2020-04-19 13:13:47.817223+00:00,493
E09000008,Croydon,London,2020-04-19 13:13:47.817223+00:00,1170
E10000006,Cumbria,North West,2020-04-19 13:13:47.817223+00:00,1467
E06000005,Darlington,North East,2020-04-19 13:13:47.817223+00:00,178
E06000015,Derby,East Midlands,2020-04-19 13:13:47.817223+00:00,401
E10000007,Derbyshire,East Midlands,2020-04-19 13:13:47.817223+00:00,901
E10000008,Devon,South West,2020-04-19 13:13:47.817223+00:00,517
E08000017,Doncaster,Yorkshire and The Humber,2020-04-19 13:13:47.817223+00:00,265
E06000059,Dorset,South West,2020-04-19 13:13:47.817223+00:00,239
E08000027,Dudley,West Midlands,2020-04-19 13:13:47.817223+00:00,564
E09000009,Ealing,London,2020-04-19 13:13:47.817223+00:00,906
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,2020-04-19 13:13:47.817223+00:00,330
E10000011,East Sussex,South East,2020-04-19 13:13:47.817223+00:00,433
E09000010,Enfield,London,2020-04-19 13:13:47.817223+00:00,672
E10000012,Essex,East of England,2020-04-19 13:13:47.817223+00:00,1846
E08000037,Gateshead,North East,2020-04-19 13:13:47.817223+00:00,567
E10000013,Gloucestershire,South West,2020-04-19 13:13:47.817223+00:00,904
E09000011,Greenwich,London,2020-04-19 13:13:47.817223+00:00,560
E09000012,Hackney,London,2020-04-19 13:13:47.817223+00:00,552
E06000006,Halton,North West,2020-04-19 13:13:47.817223+00:00,256
E09000013,Hammersmith and Fulham,London,2020-04-19 13:13:47.817223+00:00,465
E10000014,Hampshire,South East,2020-04-19 13:13:47.817223+00:00,2122
E09000014,Haringey,London,2020-04-19 13:13:47.817223+00:00,484
E09000015,Harrow,London,2020-04-19 13:13:47.817223+00:00,761
E06000001,Hartlepool,North East,2020-04-19 13:13:47.817223+00:00,84
E09000016,Havering,London,2020-04-19 13:13:47.817223+00:00,552
E06000019,"Herefordshire, County of",West Midlands,2020-04-19 13:13:47.817223+00:00,141
E10000015,Hertfordshire,East of England,2020-04-19 13:13:47.817223+00:00,1808
E09000017,Hillingdon,London,2020-04-19 13:13:47.817223+00:00,602
E09000018,Hounslow,London,2020-04-19 13:13:47.817223+00:00,557
E06000046,Isle of Wight,South East,2020-04-19 13:13:47.817223+00:00,68
E09000019,Islington,London,2020-04-19 13:13:47.817223+00:00,366
E09000020,Kensington and Chelsea,London,2020-04-19 13:13:47.817223+00:00,407
E10000016,Kent,South East,2020-04-19 13:13:47.817223+00:00,2308
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,2020-04-19 13:13:47.817223+00:00,241
E09000021,Kingston upon Thames,London,2020-04-19 13:13:47.817223+00:00,365
E08000034,Kirklees,Yorkshire and The Humber,2020-04-19 13:13:47.817223+00:00,421
E08000011,Knowsley,North West,2020-04-19 13:13:47.817223+00:00,390
E09000022,Lambeth,London,2020-04-19 13:13:47.817223+00:00,1016
E10000017,Lancashire,North West,2020-04-19 13:13:47.817223+00:00,2018
E08000035,Leeds,Yorkshire and The Humber,2020-04-19 13:13:47.817223+00:00,893
E06000016,Leicester,East Midlands,2020-04-19 13:13:47.817223+00:00,463
E10000018,Leicestershire,East Midlands,2020-04-19 13:13:47.817223+00:00,678
E09000023,Lewisham,London,2020-04-19 13:13:47.817223+00:00,810
E10000019,Lincolnshire,East Midlands,2020-04-19 13:13:47.817223+00:00,584
E08000012,Liverpool,North West,2020-04-19 13:13:47.817223+00:00,1119
E06000032,Luton,East of England,2020-04-19 13:13:47.817223+00:00,471
E08000003,Manchester,North West,2020-04-19 13:13:47.817223+00:00,833
E06000035,Medway,South East,2020-04-19 13:13:47.817223+00:00,476
E09000024,Merton,London,2020-04-19 13:13:47.817223+00:00,571
E06000002,Middlesbrough,North East,2020-04-19 13:13:47.817223+00:00,367
E06000042,Milton Keynes,South East,2020-04-19 13:13:47.817223+00:00,375
E08000021,Newcastle upon Tyne,North East,2020-04-19 13:13:47.817223+00:00,704
E09000025,Newham,London,2020-04-19 13:13:47.817223+00:00,859
E10000020,Norfolk,East of England,2020-04-19 13:13:47.817223+00:00,977
E06000012,North East Lincolnshire,Yorkshire and The Humber,2020-04-19 13:13:47.817223+00:00,91
E06000013,North Lincolnshire,Yorkshire and The Humber,2020-04-19 13:13:47.817223+00:00,167
E06000024,North Somerset,South West,2020-04-19 13:13:47.817223+00:00,159
E08000022,North Tyneside,North East,2020-04-19 13:13:47.817223+00:00,371
E10000023,North Yorkshire,Yorkshire and The Humber,2020-04-19 13:13:47.817223+00:00,616
E10000021,Northamptonshire,East Midlands,2020-04-19 13:13:47.817223+00:00,877
E06000057,Northumberland,North East,2020-04-19 13:13:47.817223+00:00,571
E06000018,Nottingham,East Midlands,2020-04-19 13:13:47.817223+00:00,385
E10000024,Nottinghamshire,East Midlands,2020-04-19 13:13:47.817223+00:00,853
E08000004,Oldham,North West,2020-04-19 13:13:47.817223+00:00,445
E10000025,Oxfordshire,South East,2020-04-19 13:13:47.817223+00:00,1158
E06000031,Peterborough,East of England,2020-04-19 13:13:47.817223+00:00,136
E06000026,Plymouth,South West,2020-04-19 13:13:47.817223+00:00,199
E06000044,Portsmouth,South East,2020-04-19 13:13:47.817223+00:00,232
E06000038,Reading,South East,2020-04-19 13:13:47.817223+00:00,307
E09000026,Redbridge,London,2020-04-19 13:13:47.817223+00:00,589
E06000003,Redcar and Cleveland,North East,2020-04-19 13:13:47.817223+00:00,212
