Code,UTLA,NHSRegion,Region,Timestamp,Confirmed
E06000020,Telford and Wrekin,West Midlands,West Midlands,2020-04-01T23:59:00+01:00,48
E06000034,Thurrock,East of England,East of England,2020-04-01T23:59:00+01:00,62
E06000027,Torbay,South West,South West,2020-04-01T23:59:00+01:00,42
E09000030,Tower Hamlets,London,London,2020-04-01T23:59:00+01:00,241
E08000009,Trafford,North West,North West,2020-04-01T23:59:00+01:00,104
E08000036,Wakefield,Yorkshire and The Humber,Yorkshire and The Humber,2020-04-01T23:59:00+01:00,79
E08000030,Walsall,West Midlands,West Midlands,2020-04-01T23:59:00+01:00,198
E09000031,Waltham Forest,London,London,2020-04-01T23:59:00+01:00,260
E09000032,Wandsworth,London,London,2020-04-01T23:59:00+01:00,360
E06000007,Warrington,North West,North West,2020-04-01T23:59:00+01:00,40
E10000031,Warwickshire,West Midlands,West Midlands,2020-04-01T23:59:00+01:00,190
E06000037,West Berkshire,South East,South East,2020-04-01T23:59:00+01:00,63
E10000032,West Sussex,South East,South East,2020-04-01T23:59:00+01:00,160
E09000033,Westminster,London,London,2020-04-01T23:59:00+01:00,301
E08000010,Wigan,North West,North West,2020-04-01T23:59:00+01:00,67
E06000054,Wiltshire,South West,South West,2020-04-01T23:59:00+01:00,93
E06000040,Windsor and Maidenhead,South East,South East,2020-04-01T23:59:00+01:00,75
E08000015,Wirral,North West,North West,2020-04-01T23:59:00+01:00,83
E06000041,Wokingham,South East,South East,2020-04-01T23:59:00+01:00,67
E08000031,Wolverhampton,West Midlands,West Midlands,2020-04-01T23:59:00+01:00,208
E10000034,Worcestershire,West Midlands,West Midlands,2020-04-01T23:59:00+01:00,201
E06000014,York,Yorkshire and The Humber,Yorkshire and The Humber,2020-04-01T23:59:00+01:00,35
