Code,UTLA,Region,Timestamp,Confirmed
E09000002,Barking and Dagenham,London,2020-07-14 13:47:09.584454+00:00,713
E09000003,Barnet,London,2020-07-14 13:47:09.584454+00:00,1605
E08000025,Birmingham,West Midlands,2020-07-14 13:47:09.584454+00:00,4884
E08000001,Bolton,North West,2020-07-14 13:47:09.584454+00:00,1869
E09000005,Brent,London,2020-07-14 13:47:09.584454+00:00,1748
E09000007,Camden,London,2020-07-14 13:47:09.584454+00:00,705
E06000056,Central Bedfordshire,East of England,2020-07-14 13:47:09.584454+00:00,1234
E06000050,Cheshire West and Chester,North West,2020-07-14 13:47:09.584454+00:00,1986
E06000005,Darlington,North East,2020-07-14 13:47:09.584454+00:00,604
E09000009,Ealing,London,2020-07-14 13:47:09.584454+00:00,1563
E09000015,Harrow,London,2020-07-14 13:47:09.584454+00:00,1289
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,2020-07-14 13:47:09.584454+00:00,1543
E10000017,Lancashire,North West,2020-07-14 13:47:09.584454+00:00,6771
E08000035,Leeds,Yorkshire and The Humber,2020-07-14 13:47:09.584454+00:00,3673
E09000023,Lewisham,London,2020-07-14 13:47:09.584454+00:00,1200
E08000012,Liverpool,North West,2020-07-14 13:47:09.584454+00:00,2470
E06000002,Middlesbrough,North East,2020-07-14 13:47:09.584454+00:00,955
E06000042,Milton Keynes,South East,2020-07-14 13:47:09.584454+00:00,861
E10000023,North Yorkshire,Yorkshire and The Humber,2020-07-14 13:47:09.584454+00:00,2533
E06000018,Nottingham,East Midlands,2020-07-14 13:47:09.584454+00:00,1180
E06000026,Plymouth,South West,2020-07-14 13:47:09.584454+00:00,662
E06000038,Reading,South East,2020-07-14 13:47:09.584454+00:00,774
E08000006,Salford,North West,2020-07-14 13:47:09.584454+00:00,1345
E08000014,Sefton,North West,2020-07-14 13:47:09.584454+00:00,1523
E06000051,Shropshire,West Midlands,2020-07-14 13:47:09.584454+00:00,1406
E06000039,Slough,South East,2020-07-14 13:47:09.584454+00:00,644
E10000027,Somerset,South West,2020-07-14 13:47:09.584454+00:00,1287
