Code,UTLA,Region,Timestamp,Confirmed,Deaths,Backdated
E06000001,Hartlepool,North East,2021-11-09 23:59:00+00:00,17279,285,C
E06000002,Middlesbrough,North East,2021-11-09 23:59:00+00:00,26451,380,C
E06000003,Redcar and Cleveland,North East,2021-11-09 23:59:00+00:00,23024,345,C
E06000004,Stockton-on-Tees,North East,2021-11-09 23:59:00+00:00,33254,488,C
E06000005,Darlington,North East,2021-11-09 23:59:00+00:00,17653,281,C
E06000006,Halton,North West,2021-11-09 23:59:00+00:00,22982,295,C
E06000007,Warrington,North West,2021-11-09 23:59:00+00:00,35893,522,C
E06000008,Blackburn with Darwen,North West,2021-11-09 23:59:00+00:00,31195,456,C
E06000009,Blackpool,North West,2021-11-09 23:59:00+00:00,23732,489,C
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,2021-11-09 23:59:00+00:00,42352,718,C
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,2021-11-09 23:59:00+00:00,45599,836,C
E06000012,North East Lincolnshire,Yorkshire and The Humber,2021-11-09 23:59:00+00:00,24308,322,C
E06000013,North Lincolnshire,Yorkshire and The Humber,2021-11-09 23:59:00+00:00,23229,335,C
E06000014,York,Yorkshire and The Humber,2021-11-09 23:59:00+00:00,26577,352,C
E06000015,Derby,East Midlands,2021-11-09 23:59:00+00:00,38881,715,C
E06000016,Leicester,East Midlands,2021-11-09 23:59:00+00:00,63157,884,C
E06000017,Rutland,East Midlands,2021-11-09 23:59:00+00:00,4301,68,C
E06000018,Nottingham,East Midlands,2021-11-09 23:59:00+00:00,54571,714,C
E06000019,"Herefordshire, County of",West Midlands,2021-11-09 23:59:00+00:00,19802,315,C
E06000020,Telford and Wrekin,West Midlands,2021-11-09 23:59:00+00:00,26387,282,C
E06000021,Stoke-on-Trent,West Midlands,2021-11-09 23:59:00+00:00,40960,800,C
E06000022,Bath and North East Somerset,South West,2021-11-09 23:59:00+00:00,25691,254,C
E06000023,"Bristol, City of",South West,2021-11-09 23:59:00+00:00,71454,567,C
E06000024,North Somerset,South West,2021-11-09 23:59:00+00:00,26249,349,C
E06000025,South Gloucestershire,South West,2021-11-09 23:59:00+00:00,39055,388,C
E06000026,Plymouth,South West,2021-11-09 23:59:00+00:00,32572,268,C
E06000027,Torbay,South West,2021-11-09 23:59:00+00:00,15869,195,C
E06000030,Swindon,South West,2021-11-09 23:59:00+00:00,30032,309,C
E06000031,Peterborough,East of England,2021-11-09 23:59:00+00:00,32434,372,C
E06000032,Luton,East of England,2021-11-09 23:59:00+00:00,36040,572,C
E06000033,Southend-on-Sea,East of England,2021-11-09 23:59:00+00:00,25834,636,C
E06000034,Thurrock,East of England,2021-11-09 23:59:00+00:00,27565,474,C
E06000035,Medway,South East,2021-11-09 23:59:00+00:00,41180,790,C
E06000036,Bracknell Forest,South East,2021-11-09 23:59:00+00:00,15537,173,C
E06000037,West Berkshire,South East,2021-11-09 23:59:00+00:00,17072,191,C
E06000038,Reading,South East,2021-11-09 23:59:00+00:00,22682,294,C
E06000039,Slough,South East,2021-11-09 23:59:00+00:00,25046,321,C
E06000040,Windsor and Maidenhead,South East,2021-11-09 23:59:00+00:00,19147,306,C
E06000041,Wokingham,South East,2021-11-09 23:59:00+00:00,20587,245,C
E06000042,Milton Keynes,South East,2021-11-09 23:59:00+00:00,38852,501,C
E06000043,Brighton and Hove,South East,2021-11-09 23:59:00+00:00,36000,408,C
E06000044,Portsmouth,South East,2021-11-09 23:59:00+00:00,30633,391,C
E06000045,Southampton,South East,2021-11-09 23:59:00+00:00,34851,368,C
E06000046,Isle of Wight,South East,2021-11-09 23:59:00+00:00,16079,298,C
E06000047,County Durham,North East,2021-11-09 23:59:00+00:00,85621,1457,C
E06000049,Cheshire East,North West,2021-11-09 23:59:00+00:00,52981,883,C
E06000050,Cheshire West and Chester,North West,2021-11-09 23:59:00+00:00,49358,925,C
E06000051,Shropshire,West Midlands,2021-11-09 23:59:00+00:00,37080,615,C
E06000052,Cornwall and Isles of Scilly,South West,2021-11-09 23:59:00+00:00,59976,581,C
E06000054,Wiltshire,South West,2021-11-09 23:59:00+00:00,55456,715,C
E06000055,Bedford,East of England,2021-11-09 23:59:00+00:00,27058,521,C
E06000056,Central Bedfordshire,East of England,2021-11-09 23:59:00+00:00,37574,626,C
E06000057,Northumberland,North East,2021-11-09 23:59:00+00:00,45330,789,C
E06000058,"Bournemouth, Christchurch and Poole",South West,2021-11-09 23:59:00+00:00,55354,912,C
E06000059,Dorset,South West,2021-11-09 23:59:00+00:00,37074,595,C
E08000001,Bolton,North West,2021-11-09 23:59:00+00:00,48952,820,C
E08000002,Bury,North West,2021-11-09 23:59:00+00:00,32784,604,C
E08000003,Manchester,North West,2021-11-09 23:59:00+00:00,98277,1108,C
E08000004,Oldham,North West,2021-11-09 23:59:00+00:00,42858,704,C
E08000005,Rochdale,North West,2021-11-09 23:59:00+00:00,39931,714,C
E08000006,Salford,North West,2021-11-09 23:59:00+00:00,46737,638,C
E08000007,Stockport,North West,2021-11-09 23:59:00+00:00,48073,726,C
E08000008,Tameside,North West,2021-11-09 23:59:00+00:00,39490,739,C
E08000009,Trafford,North West,2021-11-09 23:59:00+00:00,39729,568,C
E08000010,Wigan,North West,2021-11-09 23:59:00+00:00,57756,1024,C
E08000011,Knowsley,North West,2021-11-09 23:59:00+00:00,30304,468,C
E08000012,Liverpool,North West,2021-11-09 23:59:00+00:00,86501,1343,C
E08000013,St. Helens,North West,2021-11-09 23:59:00+00:00,32621,523,C
E08000014,Sefton,North West,2021-11-09 23:59:00+00:00,46418,886,C
E08000015,Wirral,North West,2021-11-09 23:59:00+00:00,48333,896,C
E08000016,Barnsley,Yorkshire and The Humber,2021-11-09 23:59:00+00:00,45092,919,C
E08000017,Doncaster,Yorkshire and The Humber,2021-11-09 23:59:00+00:00,53180,924,C
E08000018,Rotherham,Yorkshire and The Humber,2021-11-09 23:59:00+00:00,45591,850,C
E08000019,Sheffield,Yorkshire and The Humber,2021-11-09 23:59:00+00:00,88601,1296,C
E08000021,Newcastle upon Tyne,North East,2021-11-09 23:59:00+00:00,51617,502,C
E08000022,North Tyneside,North East,2021-11-09 23:59:00+00:00,34752,472,C
E08000023,South Tyneside,North East,2021-11-09 23:59:00+00:00,26846,480,C
E08000024,Sunderland,North East,2021-11-09 23:59:00+00:00,47864,881,C
E08000025,Birmingham,West Midlands,2021-11-09 23:59:00+00:00,177499,3005,C
E08000026,Coventry,West Midlands,2021-11-09 23:59:00+00:00,51704,622,C
E08000027,Dudley,West Midlands,2021-11-09 23:59:00+00:00,50695,845,C
E08000028,Sandwell,West Midlands,2021-11-09 23:59:00+00:00,57425,1113,C
E08000029,Solihull,West Midlands,2021-11-09 23:59:00+00:00,33690,599,C
E08000030,Walsall,West Midlands,2021-11-09 23:59:00+00:00,45994,921,C
E08000031,Wolverhampton,West Midlands,2021-11-09 23:59:00+00:00,43412,792,C
E08000032,Bradford,Yorkshire and The Humber,2021-11-09 23:59:00+00:00,92086,1250,C
E08000033,Calderdale,Yorkshire and The Humber,2021-11-09 23:59:00+00:00,34086,378,C
E08000034,Kirklees,Yorkshire and The Humber,2021-11-09 23:59:00+00:00,69876,927,C
E08000035,Leeds,Yorkshire and The Humber,2021-11-09 23:59:00+00:00,134635,1544,C
E08000036,Wakefield,Yorkshire and The Humber,2021-11-09 23:59:00+00:00,57770,891,C
E08000037,Gateshead,North East,2021-11-09 23:59:00+00:00,33184,495,C
E09000002,Barking and Dagenham,London,2021-11-09 23:59:00+00:00,33535,491,C
E09000003,Barnet,London,2021-11-09 23:59:00+00:00,53416,801,C
E09000004,Bexley,London,2021-11-09 23:59:00+00:00,35889,588,C
E09000005,Brent,London,2021-11-09 23:59:00+00:00,45464,756,C
E09000006,Bromley,London,2021-11-09 23:59:00+00:00,42433,654,C
E09000007,Camden,London,2021-11-09 23:59:00+00:00,26904,295,C
E09000008,Croydon,London,2021-11-09 23:59:00+00:00,52335,867,C
E09000009,Ealing,London,2021-11-09 23:59:00+00:00,52008,687,C
E09000010,Enfield,London,2021-11-09 23:59:00+00:00,45022,630,C
E09000011,Greenwich,London,2021-11-09 23:59:00+00:00,37012,462,C
E09000012,Hackney and City of London,London,2021-11-09 23:59:00+00:00,36585,484,C
E09000013,Hammersmith and Fulham,London,2021-11-09 23:59:00+00:00,25081,255,C
E09000014,Haringey,London,2021-11-09 23:59:00+00:00,34774,431,C
E09000015,Harrow,London,2021-11-09 23:59:00+00:00,35134,550,C
E09000016,Havering,London,2021-11-09 23:59:00+00:00,40718,871,C
E09000017,Hillingdon,London,2021-11-09 23:59:00+00:00,44805,676,C
E09000018,Hounslow,London,2021-11-09 23:59:00+00:00,42375,601,C
E09000019,Islington,London,2021-11-09 23:59:00+00:00,27977,321,C
E09000020,Kensington and Chelsea,London,2021-11-09 23:59:00+00:00,17278,232,C
E09000021,Kingston upon Thames,London,2021-11-09 23:59:00+00:00,23178,322,C
E09000022,Lambeth,London,2021-11-09 23:59:00+00:00,44248,538,C
E09000023,Lewisham,London,2021-11-09 23:59:00+00:00,37541,558,C
E09000024,Merton,London,2021-11-09 23:59:00+00:00,28093,428,C
E09000025,Newham,London,2021-11-09 23:59:00+00:00,51920,674,C
E09000026,Redbridge,London,2021-11-09 23:59:00+00:00,48398,780,C
E09000027,Richmond upon Thames,London,2021-11-09 23:59:00+00:00,23767,302,C
E09000028,Southwark,London,2021-11-09 23:59:00+00:00,39520,373,C
E09000029,Sutton,London,2021-11-09 23:59:00+00:00,29056,457,C
E09000030,Tower Hamlets,London,2021-11-09 23:59:00+00:00,46065,423,C
E09000031,Waltham Forest,London,2021-11-09 23:59:00+00:00,39411,516,C
E09000032,Wandsworth,London,2021-11-09 23:59:00+00:00,43519,467,C
E09000033,Westminster,London,2021-11-09 23:59:00+00:00,26344,333,C
E10000002,Buckinghamshire,South East,2021-11-09 23:59:00+00:00,71473,1042,C
E10000003,Cambridgeshire,East of England,2021-11-09 23:59:00+00:00,71921,879,C
E10000006,Cumbria,North West,2021-11-09 23:59:00+00:00,69724,1401,C
E10000007,Derbyshire,East Midlands,2021-11-09 23:59:00+00:00,113686,2045,C
E10000008,Devon,South West,2021-11-09 23:59:00+00:00,79301,848,C
E10000011,East Sussex,South East,2021-11-09 23:59:00+00:00,59565,1503,C
E10000012,Essex,East of England,2021-11-09 23:59:00+00:00,208892,4192,C
E10000013,Gloucestershire,South West,2021-11-09 23:59:00+00:00,69427,994,C
E10000014,Hampshire,South East,2021-11-09 23:59:00+00:00,161932,2532,C
E10000015,Hertfordshire,East of England,2021-11-09 23:59:00+00:00,162539,2606,C
E10000016,Kent,South East,2021-11-09 23:59:00+00:00,203447,4166,C
E10000017,Lancashire,North West,2021-11-09 23:59:00+00:00,203103,3305,C
E10000018,Leicestershire,East Midlands,2021-11-09 23:59:00+00:00,103481,1501,C
E10000019,Lincolnshire,East Midlands,2021-11-09 23:59:00+00:00,96325,1779,C
E10000020,Norfolk,East of England,2021-11-09 23:59:00+00:00,95356,2016,C
E10000021,Northamptonshire,East Midlands,2021-11-09 23:59:00+00:00,109093,1540,C
E10000023,North Yorkshire,Yorkshire and The Humber,2021-11-09 23:59:00+00:00,78434,1007,C
E10000024,Nottinghamshire,East Midlands,2021-11-09 23:59:00+00:00,125248,1972,C
E10000025,Oxfordshire,South East,2021-11-09 23:59:00+00:00,79444,793,C
E10000027,Somerset,South West,2021-11-09 23:59:00+00:00,61833,791,C
E10000028,Staffordshire,West Midlands,2021-11-09 23:59:00+00:00,131101,2534,C
E10000029,Suffolk,East of England,2021-11-09 23:59:00+00:00,74485,1531,C
E10000030,Surrey,South East,2021-11-09 23:59:00+00:00,149947,2547,C
E10000031,Warwickshire,West Midlands,2021-11-09 23:59:00+00:00,81176,1145,C
E10000032,West Sussex,South East,2021-11-09 23:59:00+00:00,98521,1588,C
E10000034,Worcestershire,West Midlands,2021-11-09 23:59:00+00:00,74847,1295,C
N09000001,Antrim and Newtownabbey,,2021-11-09 23:59:00+00:00,20352,257,
N09000002,"Armagh City, Banbridge and Craigavon",,2021-11-09 23:59:00+00:00,34238,377,
N09000003,Belfast,,2021-11-09 23:59:00+00:00,53342,517,
N09000004,Causeway Coast and Glens,,2021-11-09 23:59:00+00:00,19656,219,
N09000005,Derry City and Strabane,,2021-11-09 23:59:00+00:00,27900,179,
N09000006,Fermanagh and Omagh,,2021-11-09 23:59:00+00:00,17644,122,
N09000007,Lisburn and Castlereagh,,2021-11-09 23:59:00+00:00,19215,203,
N09000008,Mid and East Antrim,,2021-11-09 23:59:00+00:00,18152,253,
N09000009,Mid Ulster,,2021-11-09 23:59:00+00:00,25074,256,
N09000010,"Newry, Mourne and Down",,2021-11-09 23:59:00+00:00,26745,207,
N09000011,Ards and North Down,,2021-11-09 23:59:00+00:00,17527,167,
S12000005,Clackmannanshire,,2021-11-09 23:59:00+00:00,7177,112,
S12000006,Dumfries and Galloway,,2021-11-09 23:59:00+00:00,13637,178,
S12000008,East Ayrshire,,2021-11-09 23:59:00+00:00,16962,296,
S12000010,East Lothian,,2021-11-09 23:59:00+00:00,11421,138,
S12000011,East Renfrewshire,,2021-11-09 23:59:00+00:00,14123,194,
S12000013,Na h-Eileanan Siar,,2021-11-09 23:59:00+00:00,1231,18,
S12000014,Falkirk,,2021-11-09 23:59:00+00:00,19484,292,
S12000017,Highland,,2021-11-09 23:59:00+00:00,16567,138,
S12000018,Inverclyde,,2021-11-09 23:59:00+00:00,9972,171,
S12000019,Midlothian,,2021-11-09 23:59:00+00:00,11797,182,
S12000020,Moray,,2021-11-09 23:59:00+00:00,5627,41,
S12000021,North Ayrshire,,2021-11-09 23:59:00+00:00,17438,331,
S12000023,Orkney Islands,,2021-11-09 23:59:00+00:00,731,9,
S12000026,Scottish Borders,,2021-11-09 23:59:00+00:00,9735,141,
S12000027,Shetland Islands,,2021-11-09 23:59:00+00:00,808,11,
