Code,Country,Timestamp,Confirmed,Deaths
E92000001,England,2020-11-17 23:59:00+00:00,1211951,46301
N92000002,Northern Ireland,2020-11-17 23:59:00+00:00,47711,878
S92000003,Scotland,2020-11-17 23:59:00+00:00,83259,3323
W92000004,Wales,2020-11-17 23:59:00+00:00,67811,2243
