Code,UTLA,Region,Timestamp,Confirmed,Deaths,Backdated
E06000001,Hartlepool,North East,2021-03-21 23:59:00+00:00,8671,250,C
E06000002,Middlesbrough,North East,2021-03-21 23:59:00+00:00,12225,341,C
E06000003,Redcar and Cleveland,North East,2021-03-21 23:59:00+00:00,9158,287,C
E06000004,Stockton-on-Tees,North East,2021-03-21 23:59:00+00:00,15399,437,C
E06000005,Darlington,North East,2021-03-21 23:59:00+00:00,7290,247,C
E06000006,Halton,North West,2021-03-21 23:59:00+00:00,11825,263,C
E06000007,Warrington,North West,2021-03-21 23:59:00+00:00,17533,482,C
E06000008,Blackburn with Darwen,North West,2021-03-21 23:59:00+00:00,17688,405,C
E06000009,Blackpool,North West,2021-03-21 23:59:00+00:00,9094,434,C
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,2021-03-21 23:59:00+00:00,18790,631,C
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,2021-03-21 23:59:00+00:00,17534,732,C
E06000012,North East Lincolnshire,Yorkshire and The Humber,2021-03-21 23:59:00+00:00,8280,266,C
E06000013,North Lincolnshire,Yorkshire and The Humber,2021-03-21 23:59:00+00:00,8725,300,C
E06000014,York,Yorkshire and The Humber,2021-03-21 23:59:00+00:00,12128,306,C
E06000015,Derby,East Midlands,2021-03-21 23:59:00+00:00,19762,662,C
E06000016,Leicester,East Midlands,2021-03-21 23:59:00+00:00,35270,763,C
E06000017,Rutland,East Midlands,2021-03-21 23:59:00+00:00,1594,60,C
E06000018,Nottingham,East Midlands,2021-03-21 23:59:00+00:00,30061,604,C
E06000019,"Herefordshire, County of",West Midlands,2021-03-21 23:59:00+00:00,6820,280,C
E06000020,Telford and Wrekin,West Midlands,2021-03-21 23:59:00+00:00,10786,256,C
E06000021,Stoke-on-Trent,West Midlands,2021-03-21 23:59:00+00:00,19417,699,C
E06000022,Bath and North East Somerset,South West,2021-03-21 23:59:00+00:00,8134,218,C
E06000023,"Bristol, City of",South West,2021-03-21 23:59:00+00:00,30197,466,C
E06000024,North Somerset,South West,2021-03-21 23:59:00+00:00,9894,306,C
E06000025,South Gloucestershire,South West,2021-03-21 23:59:00+00:00,14908,352,C
E06000026,Plymouth,South West,2021-03-21 23:59:00+00:00,9000,209,C
E06000027,Torbay,South West,2021-03-21 23:59:00+00:00,4150,152,C
E06000030,Swindon,South West,2021-03-21 23:59:00+00:00,11034,266,C
E06000031,Peterborough,East of England,2021-03-21 23:59:00+00:00,14919,337,C
