Code,Country,Timestamp,Confirmed
E92000001,England,2020-03-12T23:59:00+00:00,491
N92000002,Northern Ireland,2020-03-12T23:59:00+00:00,19
S92000003,Scotland,2020-03-12T23:59:00+00:00,60
W92000004,Wales,2020-03-12T23:59:00+00:00,25
