Code,Country,Timestamp,Confirmed,Deaths
E92000001,England,2020-08-24 23:59:00+01:00,282215,36789
N92000002,Northern Ireland,2020-08-24 23:59:00+01:00,6776,559
S92000003,Scotland,2020-08-24 23:59:00+01:00,19877,2492
W92000004,Wales,2020-08-24 23:59:00+01:00,17746,1593
