Code,Country,Timestamp,Confirmed
E92000001,England,2020-03-25T23:59:00+00:00,7973
N92000002,Northern Ireland,2020-03-25T23:59:00+00:00,209
S92000003,Scotland,2020-03-25T23:59:00+00:00,719
W92000004,Wales,2020-03-25T23:59:00+00:00,628
