Code,UTLA,Region,Timestamp,Confirmed,Deaths,Backdated
E06000001,Hartlepool,North East,2021-05-03 23:59:00+01:00,8929,252,
E06000002,Middlesbrough,North East,2021-05-03 23:59:00+01:00,12509,342,
E06000003,Redcar and Cleveland,North East,2021-05-03 23:59:00+01:00,9329,289,
E06000004,Stockton-on-Tees,North East,2021-05-03 23:59:00+01:00,15941,442,
E06000005,Darlington,North East,2021-05-03 23:59:00+01:00,7553,248,
E06000006,Halton,North West,2021-05-03 23:59:00+01:00,11963,266,
E06000007,Warrington,North West,2021-05-03 23:59:00+01:00,17894,486,
E06000008,Blackburn with Darwen,North West,2021-05-03 23:59:00+01:00,18216,408,
E06000009,Blackpool,North West,2021-05-03 23:59:00+01:00,9228,436,
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,2021-05-03 23:59:00+01:00,19902,645,
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,2021-05-03 23:59:00+01:00,18296,751,
E06000012,North East Lincolnshire,Yorkshire and The Humber,2021-05-03 23:59:00+01:00,8683,268,
E06000013,North Lincolnshire,Yorkshire and The Humber,2021-05-03 23:59:00+01:00,9557,306,
E06000014,York,Yorkshire and The Humber,2021-05-03 23:59:00+01:00,12283,310,
E06000015,Derby,East Midlands,2021-05-03 23:59:00+01:00,20163,666,
E06000016,Leicester,East Midlands,2021-05-03 23:59:00+01:00,36774,786,
E06000017,Rutland,East Midlands,2021-05-03 23:59:00+01:00,1667,62,
E06000018,Nottingham,East Midlands,2021-05-03 23:59:00+01:00,30777,613,
E06000019,"Herefordshire, County of",West Midlands,2021-05-03 23:59:00+01:00,7043,283,
E06000020,Telford and Wrekin,West Midlands,2021-05-03 23:59:00+01:00,11010,257,
E06000021,Stoke-on-Trent,West Midlands,2021-05-03 23:59:00+01:00,20165,704,
E06000022,Bath and North East Somerset,South West,2021-05-03 23:59:00+01:00,8247,218,
E06000023,"Bristol, City of",South West,2021-05-03 23:59:00+01:00,30848,470,
E06000024,North Somerset,South West,2021-05-03 23:59:00+01:00,10100,313,
E06000025,South Gloucestershire,South West,2021-05-03 23:59:00+01:00,15232,355,
E06000026,Plymouth,South West,2021-05-03 23:59:00+01:00,9192,210,
E06000027,Torbay,South West,2021-05-03 23:59:00+01:00,4235,153,
E06000030,Swindon,South West,2021-05-03 23:59:00+01:00,11520,271,
E06000031,Peterborough,East of England,2021-05-03 23:59:00+01:00,15697,339,
E06000032,Luton,East of England,2021-05-03 23:59:00+01:00,20669,499,
E06000033,Southend-on-Sea,East of England,2021-05-03 23:59:00+01:00,14786,609,
E06000034,Thurrock,East of England,2021-05-03 23:59:00+01:00,17909,438,
E06000035,Medway,South East,2021-05-03 23:59:00+01:00,26145,746,
E06000036,Bracknell Forest,South East,2021-05-03 23:59:00+01:00,7097,158,
E06000037,West Berkshire,South East,2021-05-03 23:59:00+01:00,6405,173,
E06000038,Reading,South East,2021-05-03 23:59:00+01:00,10946,262,
E06000039,Slough,South East,2021-05-03 23:59:00+01:00,15561,290,
E06000040,Windsor and Maidenhead,South East,2021-05-03 23:59:00+01:00,8516,296,
E06000041,Wokingham,South East,2021-05-03 23:59:00+01:00,8256,228,
E06000042,Milton Keynes,South East,2021-05-03 23:59:00+01:00,20133,463,
E06000043,Brighton and Hove,South East,2021-05-03 23:59:00+01:00,14560,372,
E06000044,Portsmouth,South East,2021-05-03 23:59:00+01:00,14288,368,
E06000045,Southampton,South East,2021-05-03 23:59:00+01:00,14820,319,
E06000046,Isle of Wight,South East,2021-05-03 23:59:00+01:00,6807,258,
E06000047,County Durham,North East,2021-05-03 23:59:00+01:00,38110,1248,
E06000049,Cheshire East,North West,2021-05-03 23:59:00+01:00,20952,799,
E06000050,Cheshire West and Chester,North West,2021-05-03 23:59:00+01:00,21754,868,
E06000051,Shropshire,West Midlands,2021-05-03 23:59:00+01:00,15076,558,
E06000052,Cornwall and Isles of Scilly,South West,2021-05-03 23:59:00+01:00,14238,469,
E06000054,Wiltshire,South West,2021-05-03 23:59:00+01:00,17301,650,
E06000055,Bedford,East of England,2021-05-03 23:59:00+01:00,13564,485,
E06000056,Central Bedfordshire,East of England,2021-05-03 23:59:00+01:00,16015,571,
E06000057,Northumberland,North East,2021-05-03 23:59:00+01:00,17530,686,
E06000058,"Bournemouth, Christchurch and Poole",South West,2021-05-03 23:59:00+01:00,25359,860,
E06000059,Dorset,South West,2021-05-03 23:59:00+01:00,11895,528,
E08000001,Bolton,North West,2021-05-03 23:59:00+01:00,26355,735,
E08000002,Bury,North West,2021-05-03 23:59:00+01:00,17289,528,
E08000003,Manchester,North West,2021-05-03 23:59:00+01:00,53278,1010,
E08000004,Oldham,North West,2021-05-03 23:59:00+01:00,23186,605,
E08000005,Rochdale,North West,2021-05-03 23:59:00+01:00,21385,635,
E08000006,Salford,North West,2021-05-03 23:59:00+01:00,23318,561,
E08000007,Stockport,North West,2021-05-03 23:59:00+01:00,21022,650,
E08000008,Tameside,North West,2021-05-03 23:59:00+01:00,18437,663,
E08000009,Trafford,North West,2021-05-03 23:59:00+01:00,16656,467,
E08000010,Wigan,North West,2021-05-03 23:59:00+01:00,29158,938,
E08000011,Knowsley,North West,2021-05-03 23:59:00+01:00,17386,411,
E08000012,Liverpool,North West,2021-05-03 23:59:00+01:00,48496,1181,
E08000013,St. Helens,North West,2021-05-03 23:59:00+01:00,17074,454,
E08000014,Sefton,North West,2021-05-03 23:59:00+01:00,23971,792,
E08000015,Wirral,North West,2021-05-03 23:59:00+01:00,24304,808,
E08000016,Barnsley,Yorkshire and The Humber,2021-05-03 23:59:00+01:00,19536,798,
E08000017,Doncaster,Yorkshire and The Humber,2021-05-03 23:59:00+01:00,23796,836,
E08000018,Rotherham,Yorkshire and The Humber,2021-05-03 23:59:00+01:00,21422,750,
E08000019,Sheffield,Yorkshire and The Humber,2021-05-03 23:59:00+01:00,43868,1144,
E08000021,Newcastle upon Tyne,North East,2021-05-03 23:59:00+01:00,23699,435,
E08000022,North Tyneside,North East,2021-05-03 23:59:00+01:00,12532,417,
E08000023,South Tyneside,North East,2021-05-03 23:59:00+01:00,11369,423,
E08000024,Sunderland,North East,2021-05-03 23:59:00+01:00,22126,759,
E08000025,Birmingham,West Midlands,2021-05-03 23:59:00+01:00,101439,2665,
E08000026,Coventry,West Midlands,2021-05-03 23:59:00+01:00,23838,538,
E08000027,Dudley,West Midlands,2021-05-03 23:59:00+01:00,26835,768,
E08000028,Sandwell,West Midlands,2021-05-03 23:59:00+01:00,34270,1003,
E08000029,Solihull,West Midlands,2021-05-03 23:59:00+01:00,14691,536,
E08000030,Walsall,West Midlands,2021-05-03 23:59:00+01:00,25814,835,
E08000031,Wolverhampton,West Midlands,2021-05-03 23:59:00+01:00,24836,725,
E08000032,Bradford,Yorkshire and The Humber,2021-05-03 23:59:00+01:00,49608,1064,
E08000033,Calderdale,Yorkshire and The Humber,2021-05-03 23:59:00+01:00,14565,308,
E08000034,Kirklees,Yorkshire and The Humber,2021-05-03 23:59:00+01:00,34310,828,
E08000035,Leeds,Yorkshire and The Humber,2021-05-03 23:59:00+01:00,62980,1313,
E08000036,Wakefield,Yorkshire and The Humber,2021-05-03 23:59:00+01:00,25851,765,
E08000037,Gateshead,North East,2021-05-03 23:59:00+01:00,13792,424,
E09000002,Barking and Dagenham,London,2021-05-03 23:59:00+01:00,23628,460,
E09000003,Barnet,London,2021-05-03 23:59:00+01:00,30517,742,
E09000004,Bexley,London,2021-05-03 23:59:00+01:00,22403,564,
E09000005,Brent,London,2021-05-03 23:59:00+01:00,28668,703,
E09000006,Bromley,London,2021-05-03 23:59:00+01:00,24384,608,
E09000007,Camden,London,2021-05-03 23:59:00+01:00,14131,265,
E09000008,Croydon,London,2021-05-03 23:59:00+01:00,30945,802,
E09000009,Ealing,London,2021-05-03 23:59:00+01:00,31227,613,
E09000010,Enfield,London,2021-05-03 23:59:00+01:00,29808,587,
E09000011,Greenwich,London,2021-05-03 23:59:00+01:00,22433,430,
E09000012,Hackney and City of London,London,2021-05-03 23:59:00+01:00,21712,425,
E09000013,Hammersmith and Fulham,London,2021-05-03 23:59:00+01:00,13054,231,
E09000014,Haringey,London,2021-05-03 23:59:00+01:00,20836,371,
E09000015,Harrow,London,2021-05-03 23:59:00+01:00,20895,503,
E09000016,Havering,London,2021-05-03 23:59:00+01:00,26915,832,
E09000017,Hillingdon,London,2021-05-03 23:59:00+01:00,26624,615,
