Code,UTLA,Region,Timestamp,Confirmed,Deaths,Backdated
E06000001,Hartlepool,North East,2021-01-04 23:59:00+00:00,5964,169,C
E06000002,Middlesbrough,North East,2021-01-04 23:59:00+00:00,7646,214,C
E06000003,Redcar and Cleveland,North East,2021-01-04 23:59:00+00:00,5856,188,C
E06000004,Stockton-on-Tees,North East,2021-01-04 23:59:00+00:00,10165,302,C
E06000005,Darlington,North East,2021-01-04 23:59:00+00:00,4763,183,C
E06000006,Halton,North West,2021-01-04 23:59:00+00:00,6799,166,C
E06000007,Warrington,North West,2021-01-04 23:59:00+00:00,11445,317,C
E06000008,Blackburn with Darwen,North West,2021-01-04 23:59:00+00:00,12366,250,C
E06000009,Blackpool,North West,2021-01-04 23:59:00+00:00,6544,301,C
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,2021-01-04 23:59:00+00:00,13525,411,C
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,2021-01-04 23:59:00+00:00,12742,508,C
E06000012,North East Lincolnshire,Yorkshire and The Humber,2021-01-04 23:59:00+00:00,6250,208,C
E06000013,North Lincolnshire,Yorkshire and The Humber,2021-01-04 23:59:00+00:00,6408,230,C
E06000014,York,Yorkshire and The Humber,2021-01-04 23:59:00+00:00,8080,159,C
E06000015,Derby,East Midlands,2021-01-04 23:59:00+00:00,11507,371,C
E06000016,Leicester,East Midlands,2021-01-04 23:59:00+00:00,23479,439,C
E06000017,Rutland,East Midlands,2021-01-04 23:59:00+00:00,811,26,C
E06000018,Nottingham,East Midlands,2021-01-04 23:59:00+00:00,20964,393,C
E06000019,"Herefordshire, County of",West Midlands,2021-01-04 23:59:00+00:00,3966,146,C
E06000020,Telford and Wrekin,West Midlands,2021-01-04 23:59:00+00:00,6049,133,C
E06000021,Stoke-on-Trent,West Midlands,2021-01-04 23:59:00+00:00,13504,467,C
E06000022,Bath and North East Somerset,South West,2021-01-04 23:59:00+00:00,5212,83,C
E06000023,"Bristol, City of",South West,2021-01-04 23:59:00+00:00,20118,262,C
