Code,UTLA,Region,Timestamp,Confirmed
E09000002,Barking and Dagenham,London,2020-07-26 12:59:40.035954+00:00,729
E09000003,Barnet,London,2020-07-26 12:59:40.035954+00:00,1647
E08000025,Birmingham,West Midlands,2020-07-26 12:59:40.035954+00:00,5141
E08000001,Bolton,North West,2020-07-26 12:59:40.035954+00:00,1945
E09000005,Brent,London,2020-07-26 12:59:40.035954+00:00,1780
E09000007,Camden,London,2020-07-26 12:59:40.035954+00:00,713
E06000056,Central Bedfordshire,East of England,2020-07-26 12:59:40.035954+00:00,1265
E06000050,Cheshire West and Chester,North West,2020-07-26 12:59:40.035954+00:00,2026
E06000005,Darlington,North East,2020-07-26 12:59:40.035954+00:00,609
E09000009,Ealing,London,2020-07-26 12:59:40.035954+00:00,1598
E09000015,Harrow,London,2020-07-26 12:59:40.035954+00:00,1305
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,2020-07-26 12:59:40.035954+00:00,1568
E10000017,Lancashire,North West,2020-07-26 12:59:40.035954+00:00,7005
E08000035,Leeds,Yorkshire and The Humber,2020-07-26 12:59:40.035954+00:00,3753
E09000023,Lewisham,London,2020-07-26 12:59:40.035954+00:00,1228
E08000012,Liverpool,North West,2020-07-26 12:59:40.035954+00:00,2502
E06000002,Middlesbrough,North East,2020-07-26 12:59:40.035954+00:00,968
E06000042,Milton Keynes,South East,2020-07-26 12:59:40.035954+00:00,869
E10000023,North Yorkshire,Yorkshire and The Humber,2020-07-26 12:59:40.035954+00:00,2555
E06000018,Nottingham,East Midlands,2020-07-26 12:59:40.035954+00:00,1200
E06000026,Plymouth,South West,2020-07-26 12:59:40.035954+00:00,668
E06000038,Reading,South East,2020-07-26 12:59:40.035954+00:00,793
E08000006,Salford,North West,2020-07-26 12:59:40.035954+00:00,1417
E08000014,Sefton,North West,2020-07-26 12:59:40.035954+00:00,1555
E06000051,Shropshire,West Midlands,2020-07-26 12:59:40.035954+00:00,1426
E06000039,Slough,South East,2020-07-26 12:59:40.035954+00:00,655
E10000027,Somerset,South West,2020-07-26 12:59:40.035954+00:00,1302
E08000007,Stockport,North West,2020-07-26 12:59:40.035954+00:00,1692
E06000004,Stockton-on-Tees,North East,2020-07-26 12:59:40.035954+00:00,973
E08000024,Sunderland,North East,2020-07-26 12:59:40.035954+00:00,1779
E06000007,Warrington,North West,2020-07-26 12:59:40.035954+00:00,1338
E10000032,West Sussex,South East,2020-07-26 12:59:40.035954+00:00,2781
E06000054,Wiltshire,South West,2020-07-26 12:59:40.035954+00:00,1281
E06000040,Windsor and Maidenhead,South East,2020-07-26 12:59:40.035954+00:00,416
E08000015,Wirral,North West,2020-07-26 12:59:40.035954+00:00,2059
E06000055,Bedford,East of England,2020-07-26 12:59:40.035954+00:00,1324
E06000008,Blackburn with Darwen,North West,2020-07-26 12:59:40.035954+00:00,1297
E06000058,"Bournemouth, Christchurch and Poole",South West,2020-07-26 12:59:40.035954+00:00,831
E06000036,Bracknell Forest,South East,2020-07-26 12:59:40.035954+00:00,387
E06000023,"Bristol, City of",South West,2020-07-26 12:59:40.035954+00:00,1318
E10000002,Buckinghamshire,South East,2020-07-26 12:59:40.035954+00:00,1725
E06000049,Cheshire East,North West,2020-07-26 12:59:40.035954+00:00,2229
E06000052,Cornwall and Isles of Scilly,South West,2020-07-26 12:59:40.035954+00:00,919
E09000008,Croydon,London,2020-07-26 12:59:40.035954+00:00,1872
E10000008,Devon,South West,2020-07-26 12:59:40.035954+00:00,1234
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,2020-07-26 12:59:40.035954+00:00,1649
E10000011,East Sussex,South East,2020-07-26 12:59:40.035954+00:00,1599
E09000011,Greenwich,London,2020-07-26 12:59:40.035954+00:00,978
E09000014,Haringey,London,2020-07-26 12:59:40.035954+00:00,785
E06000001,Hartlepool,North East,2020-07-26 12:59:40.035954+00:00,608
E09000016,Havering,London,2020-07-26 12:59:40.035954+00:00,982
E06000019,"Herefordshire, County of",West Midlands,2020-07-26 12:59:40.035954+00:00,875
E09000017,Hillingdon,London,2020-07-26 12:59:40.035954+00:00,1139
E09000020,Kensington and Chelsea,London,2020-07-26 12:59:40.035954+00:00,578
E08000034,Kirklees,Yorkshire and The Humber,2020-07-26 12:59:40.035954+00:00,2359
E06000016,Leicester,East Midlands,2020-07-26 12:59:40.035954+00:00,4804
E09000024,Merton,London,2020-07-26 12:59:40.035954+00:00,955
E09000025,Newham,London,2020-07-26 12:59:40.035954+00:00,1312
E10000020,Norfolk,East of England,2020-07-26 12:59:40.035954+00:00,2889
E08000022,North Tyneside,North East,2020-07-26 12:59:40.035954+00:00,925
E10000021,Northamptonshire,East Midlands,2020-07-26 12:59:40.035954+00:00,3453
E08000004,Oldham,North West,2020-07-26 12:59:40.035954+00:00,2022
E06000003,Redcar and Cleveland,North East,2020-07-26 12:59:40.035954+00:00,705
E06000017,Rutland,East Midlands,2020-07-26 12:59:40.035954+00:00,99
E08000029,Solihull,West Midlands,2020-07-26 12:59:40.035954+00:00,918
E09000028,Southwark,London,2020-07-26 12:59:40.035954+00:00,1475
E08000013,St. Helens,North West,2020-07-26 12:59:40.035954+00:00,1204
E10000029,Suffolk,East of England,2020-07-26 12:59:40.035954+00:00,2659
E06000034,Thurrock,East of England,2020-07-26 12:59:40.035954+00:00,571
E09000030,Tower Hamlets,London,2020-07-26 12:59:40.035954+00:00,855
E09000031,Waltham Forest,London,2020-07-26 12:59:40.035954+00:00,1045
E09000033,Westminster,London,2020-07-26 12:59:40.035954+00:00,804
E06000041,Wokingham,South East,2020-07-26 12:59:40.035954+00:00,604
E09000004,Bexley,London,2020-07-26 12:59:40.035954+00:00,1092
E06000009,Blackpool,North West,2020-07-26 12:59:40.035954+00:00,1042
E08000032,Bradford,Yorkshire and The Humber,2020-07-26 12:59:40.035954+00:00,4819
E06000043,Brighton and Hove,South East,2020-07-26 12:59:40.035954+00:00,797
E10000003,Cambridgeshire,East of England,2020-07-26 12:59:40.035954+00:00,2289
E06000047,County Durham,North East,2020-07-26 12:59:40.035954+00:00,3346
E08000026,Coventry,West Midlands,2020-07-26 12:59:40.035954+00:00,1384
E10000006,Cumbria,North West,2020-07-26 12:59:40.035954+00:00,2790
E06000015,Derby,East Midlands,2020-07-26 12:59:40.035954+00:00,1316
E08000017,Doncaster,Yorkshire and The Humber,2020-07-26 12:59:40.035954+00:00,2023
E08000027,Dudley,West Midlands,2020-07-26 12:59:40.035954+00:00,1322
E08000037,Gateshead,North East,2020-07-26 12:59:40.035954+00:00,1288
