Code,UTLA,Region,Timestamp,Confirmed
E06000015,Derby,East Midlands,2020-06-03 13:01:19.880302+00:00,592
E08000017,Doncaster,Yorkshire and The Humber,2020-06-03 13:01:19.880302+00:00,816
E08000027,Dudley,West Midlands,2020-06-03 13:01:19.880302+00:00,881
E08000037,Gateshead,North East,2020-06-03 13:01:19.880302+00:00,1007
E06000006,Halton,North West,2020-06-03 13:01:19.880302+00:00,408
E09000013,Hammersmith and Fulham,London,2020-06-03 13:01:19.880302+00:00,663
E10000015,Hertfordshire,East of England,2020-06-03 13:01:19.880302+00:00,2903
E09000018,Hounslow,London,2020-06-03 13:01:19.880302+00:00,730
E06000046,Isle of Wight,South East,2020-06-03 13:01:19.880302+00:00,200
E10000016,Kent,South East,2020-06-03 13:01:19.880302+00:00,5083
E09000021,Kingston upon Thames,London,2020-06-03 13:01:19.880302+00:00,525
E08000011,Knowsley,North West,2020-06-03 13:01:19.880302+00:00,672
E10000018,Leicestershire,East Midlands,2020-06-03 13:01:19.880302+00:00,1320
E06000032,Luton,East of England,2020-06-03 13:01:19.880302+00:00,772
E06000035,Medway,South East,2020-06-03 13:01:19.880302+00:00,770
E06000012,North East Lincolnshire,Yorkshire and The Humber,2020-06-03 13:01:19.880302+00:00,156
E06000013,North Lincolnshire,Yorkshire and The Humber,2020-06-03 13:01:19.880302+00:00,518
E06000024,North Somerset,South West,2020-06-03 13:01:19.880302+00:00,461
E09000026,Redbridge,London,2020-06-03 13:01:19.880302+00:00,758
E09000027,Richmond upon Thames,London,2020-06-03 13:01:19.880302+00:00,411
E08000005,Rochdale,North West,2020-06-03 13:01:19.880302+00:00,810
E08000023,South Tyneside,North East,2020-06-03 13:01:19.880302+00:00,745
E06000045,Southampton,South East,2020-06-03 13:01:19.880302+00:00,593
E10000030,Surrey,South East,2020-06-03 13:01:19.880302+00:00,2934
E06000027,Torbay,South West,2020-06-03 13:01:19.880302+00:00,221
E09000032,Wandsworth,London,2020-06-03 13:01:19.880302+00:00,998
E06000037,West Berkshire,South East,2020-06-03 13:01:19.880302+00:00,379
E08000010,Wigan,North West,2020-06-03 13:01:19.880302+00:00,1210
E08000031,Wolverhampton,West Midlands,2020-06-03 13:01:19.880302+00:00,1003
E08000016,Barnsley,Yorkshire and The Humber,2020-06-03 13:01:19.880302+00:00,981
E06000022,Bath and North East Somerset,South West,2020-06-03 13:01:19.880302+00:00,235
E09000006,Bromley,London,2020-06-03 13:01:19.880302+00:00,1281
E08000033,Calderdale,Yorkshire and The Humber,2020-06-03 13:01:19.880302+00:00,296
E10000007,Derbyshire,East Midlands,2020-06-03 13:01:19.880302+00:00,1714
E06000059,Dorset,South West,2020-06-03 13:01:19.880302+00:00,365
E09000010,Enfield,London,2020-06-03 13:01:19.880302+00:00,888
E10000012,Essex,East of England,2020-06-03 13:01:19.880302+00:00,3257
E10000013,Gloucestershire,South West,2020-06-03 13:01:19.880302+00:00,1376
E10000014,Hampshire,South East,2020-06-03 13:01:19.880302+00:00,3345
E09000019,Islington,London,2020-06-03 13:01:19.880302+00:00,462
E09000022,Lambeth,London,2020-06-03 13:01:19.880302+00:00,1212
E10000019,Lincolnshire,East Midlands,2020-06-03 13:01:19.880302+00:00,1118
E08000003,Manchester,North West,2020-06-03 13:01:19.880302+00:00,1597
E08000021,Newcastle upon Tyne,North East,2020-06-03 13:01:19.880302+00:00,1064
E06000057,Northumberland,North East,2020-06-03 13:01:19.880302+00:00,1029
E10000024,Nottinghamshire,East Midlands,2020-06-03 13:01:19.880302+00:00,1421
E10000025,Oxfordshire,South East,2020-06-03 13:01:19.880302+00:00,2077
E06000031,Peterborough,East of England,2020-06-03 13:01:19.880302+00:00,432
E06000044,Portsmouth,South East,2020-06-03 13:01:19.880302+00:00,320
E08000018,Rotherham,Yorkshire and The Humber,2020-06-03 13:01:19.880302+00:00,989
E08000028,Sandwell,West Midlands,2020-06-03 13:01:19.880302+00:00,1038
E08000019,Sheffield,Yorkshire and The Humber,2020-06-03 13:01:19.880302+00:00,2551
E06000025,South Gloucestershire,South West,2020-06-03 13:01:19.880302+00:00,403
E06000033,Southend-on-Sea,East of England,2020-06-03 13:01:19.880302+00:00,405
E10000028,Staffordshire,West Midlands,2020-06-03 13:01:19.880302+00:00,2271
E09000029,Sutton,London,2020-06-03 13:01:19.880302+00:00,752
E06000030,Swindon,South West,2020-06-03 13:01:19.880302+00:00,457
E08000008,Tameside,North West,2020-06-03 13:01:19.880302+00:00,745
E06000020,Telford and Wrekin,West Midlands,2020-06-03 13:01:19.880302+00:00,363
E08000009,Trafford,North West,2020-06-03 13:01:19.880302+00:00,830
E08000036,Wakefield,Yorkshire and The Humber,2020-06-03 13:01:19.880302+00:00,756
E08000030,Walsall,West Midlands,2020-06-03 13:01:19.880302+00:00,1093
E10000031,Warwickshire,West Midlands,2020-06-03 13:01:19.880302+00:00,1480
E10000034,Worcestershire,West Midlands,2020-06-03 13:01:19.880302+00:00,1405
E06000014,York,Yorkshire and The Humber,2020-06-03 13:01:19.880302+00:00,461
E08000002,Bury,North West,2020-06-03 13:01:19.880302+00:00,771
E06000021,Stoke-on-Trent,West Midlands,2020-06-03 13:01:19.880302+00:00,789
