Code,UTLA,Region,Timestamp,Confirmed,Deaths,Backdated
E06000001,Hartlepool,North East,2020-08-04 23:59:00+01:00,622,,C
E06000002,Middlesbrough,North East,2020-08-04 23:59:00+01:00,989,,C
E06000003,Redcar and Cleveland,North East,2020-08-04 23:59:00+01:00,712,,C
E06000004,Stockton-on-Tees,North East,2020-08-04 23:59:00+01:00,995,,C
E06000005,Darlington,North East,2020-08-04 23:59:00+01:00,614,,C
E06000006,Halton,North West,2020-08-04 23:59:00+01:00,712,,C
E06000007,Warrington,North West,2020-08-04 23:59:00+01:00,1355,,C
E06000008,Blackburn with Darwen,North West,2020-08-04 23:59:00+01:00,1507,,C
E06000009,Blackpool,North West,2020-08-04 23:59:00+01:00,1061,,C
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,2020-08-04 23:59:00+01:00,1579,,C
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,2020-08-04 23:59:00+01:00,1659,,C
E06000012,North East Lincolnshire,Yorkshire and The Humber,2020-08-04 23:59:00+01:00,221,,C
E06000013,North Lincolnshire,Yorkshire and The Humber,2020-08-04 23:59:00+01:00,739,,C
E06000014,York,Yorkshire and The Humber,2020-08-04 23:59:00+01:00,927,,C
E06000015,Derby,East Midlands,2020-08-04 23:59:00+01:00,1340,,C
E06000016,Leicester,East Midlands,2020-08-04 23:59:00+01:00,5123,,C
E06000017,Rutland,East Midlands,2020-08-04 23:59:00+01:00,100,,C
E06000018,Nottingham,East Midlands,2020-08-04 23:59:00+01:00,1242,,C
E06000019,"Herefordshire, County of",West Midlands,2020-08-04 23:59:00+01:00,891,,C
E06000020,Telford and Wrekin,West Midlands,2020-08-04 23:59:00+01:00,635,,C
E06000021,Stoke-on-Trent,West Midlands,2020-08-04 23:59:00+01:00,1520,,C
E06000022,Bath and North East Somerset,South West,2020-08-04 23:59:00+01:00,358,,C
E06000023,"Bristol, City of",South West,2020-08-04 23:59:00+01:00,1350,,C
E06000024,North Somerset,South West,2020-08-04 23:59:00+01:00,919,,C
E06000025,South Gloucestershire,South West,2020-08-04 23:59:00+01:00,769,,C
E06000026,Plymouth,South West,2020-08-04 23:59:00+01:00,680,,C
E06000027,Torbay,South West,2020-08-04 23:59:00+01:00,284,,C
E06000030,Swindon,South West,2020-08-04 23:59:00+01:00,974,,C
E06000031,Peterborough,East of England,2020-08-04 23:59:00+01:00,1485,,C
E06000032,Luton,East of England,2020-08-04 23:59:00+01:00,1607,,C
E06000033,Southend-on-Sea,East of England,2020-08-04 23:59:00+01:00,717,,C
E06000034,Thurrock,East of England,2020-08-04 23:59:00+01:00,589,,C
E06000035,Medway,South East,2020-08-04 23:59:00+01:00,1102,,C
E06000036,Bracknell Forest,South East,2020-08-04 23:59:00+01:00,391,,C
E06000037,West Berkshire,South East,2020-08-04 23:59:00+01:00,498,,C
E06000038,Reading,South East,2020-08-04 23:59:00+01:00,807,,C
E06000039,Slough,South East,2020-08-04 23:59:00+01:00,683,,C
E06000040,Windsor and Maidenhead,South East,2020-08-04 23:59:00+01:00,430,,C
E06000041,Wokingham,South East,2020-08-04 23:59:00+01:00,610,,C
E06000042,Milton Keynes,South East,2020-08-04 23:59:00+01:00,891,,C
E06000043,Brighton and Hove,South East,2020-08-04 23:59:00+01:00,821,,C
E06000044,Portsmouth,South East,2020-08-04 23:59:00+01:00,515,,C
E06000045,Southampton,South East,2020-08-04 23:59:00+01:00,972,,C
E06000046,Isle of Wight,South East,2020-08-04 23:59:00+01:00,423,,C
E06000047,County Durham,North East,2020-08-04 23:59:00+01:00,3368,,C
E06000049,Cheshire East,North West,2020-08-04 23:59:00+01:00,2275,,C
E06000050,Cheshire West and Chester,North West,2020-08-04 23:59:00+01:00,2062,,C
E06000051,Shropshire,West Midlands,2020-08-04 23:59:00+01:00,1448,,C
E06000052,Cornwall and Isles of Scilly,South West,2020-08-04 23:59:00+01:00,940,,C
E06000054,Wiltshire,South West,2020-08-04 23:59:00+01:00,1322,,C
E06000055,Bedford,East of England,2020-08-04 23:59:00+01:00,1381,,C
E06000056,Central Bedfordshire,East of England,2020-08-04 23:59:00+01:00,1288,,C
E06000057,Northumberland,North East,2020-08-04 23:59:00+01:00,1596,,C
E06000058,"Bournemouth, Christchurch and Poole",South West,2020-08-04 23:59:00+01:00,840,,C
E06000059,Dorset,South West,2020-08-04 23:59:00+01:00,621,,C
E08000001,Bolton,North West,2020-08-04 23:59:00+01:00,2059,,C
E08000002,Bury,North West,2020-08-04 23:59:00+01:00,1398,,C
E08000003,Manchester,North West,2020-08-04 23:59:00+01:00,3457,,C
E08000004,Oldham,North West,2020-08-04 23:59:00+01:00,2274,,C
E08000005,Rochdale,North West,2020-08-04 23:59:00+01:00,1941,,C
E08000006,Salford,North West,2020-08-04 23:59:00+01:00,1529,,C
E08000007,Stockport,North West,2020-08-04 23:59:00+01:00,1801,,C
E08000008,Tameside,North West,2020-08-04 23:59:00+01:00,1683,,C
E08000009,Trafford,North West,2020-08-04 23:59:00+01:00,1476,,C
E08000010,Wigan,North West,2020-08-04 23:59:00+01:00,2207,,C
E08000011,Knowsley,North West,2020-08-04 23:59:00+01:00,1032,,C
E08000012,Liverpool,North West,2020-08-04 23:59:00+01:00,2611,,C
E08000013,St. Helens,North West,2020-08-04 23:59:00+01:00,1225,,C
E08000014,Sefton,North West,2020-08-04 23:59:00+01:00,1584,,C
E08000015,Wirral,North West,2020-08-04 23:59:00+01:00,2081,,C
E08000016,Barnsley,Yorkshire and The Humber,2020-08-04 23:59:00+01:00,2014,,C
E08000017,Doncaster,Yorkshire and The Humber,2020-08-04 23:59:00+01:00,2035,,C
E08000018,Rotherham,Yorkshire and The Humber,2020-08-04 23:59:00+01:00,2069,,C
