Code,UTLA,NHSRegion,Region,Timestamp,Confirmed
E09000002,Barking and Dagenham,London,London,2020-03-13T23:59:00+00:00,4
E09000003,Barnet,London,London,2020-03-13T23:59:00+00:00,14
E08000016,Barnsley,Yorkshire and The Humber,Yorkshire and The Humber,2020-03-13T23:59:00+00:00,2
E06000022,Bath and North East Somerset,South West,South West,2020-03-13T23:59:00+00:00,0
E06000055,Bedford,East of England,East of England,2020-03-13T23:59:00+00:00,0
E09000004,Bexley,London,London,2020-03-13T23:59:00+00:00,1
E08000025,Birmingham,West Midlands,West Midlands,2020-03-13T23:59:00+00:00,2
E06000008,Blackburn with Darwen,North West,North West,2020-03-13T23:59:00+00:00,0
E06000009,Blackpool,North West,North West,2020-03-13T23:59:00+00:00,2
E08000001,Bolton,North West,North West,2020-03-13T23:59:00+00:00,3
E06000058,"Bournemouth, Christchurch and Poole",South West,South West,2020-03-13T23:59:00+00:00,3
E06000036,Bracknell Forest,South East,South East,2020-03-13T23:59:00+00:00,4
E08000032,Bradford,Yorkshire and The Humber,Yorkshire and The Humber,2020-03-13T23:59:00+00:00,4
E09000005,Brent,London,London,2020-03-13T23:59:00+00:00,4
E06000043,Brighton and Hove,South East,South East,2020-03-13T23:59:00+00:00,9
E06000023,"Bristol, City of",South West,South West,2020-03-13T23:59:00+00:00,5
E09000006,Bromley,London,London,2020-03-13T23:59:00+00:00,4
E10000002,Buckinghamshire,South East,South East,2020-03-13T23:59:00+00:00,7
E08000002,Bury,North West,North West,2020-03-13T23:59:00+00:00,3
E08000033,Calderdale,Yorkshire and The Humber,Yorkshire and The Humber,2020-03-13T23:59:00+00:00,2
E10000003,Cambridgeshire,East of England,East of England,2020-03-13T23:59:00+00:00,1
E09000007,Camden,London,London,2020-03-13T23:59:00+00:00,13
E06000056,Central Bedfordshire,East of England,East of England,2020-03-13T23:59:00+00:00,0
E06000049,Cheshire East,North West,North West,2020-03-13T23:59:00+00:00,0
E06000050,Cheshire West and Chester,North West,North West,2020-03-13T23:59:00+00:00,3
E06000052,Cornwall and Isles of Scilly,South West,South West,2020-03-13T23:59:00+00:00,5
E06000047,County Durham,North East,North East,2020-03-13T23:59:00+00:00,1
E08000026,Coventry,West Midlands,West Midlands,2020-03-13T23:59:00+00:00,3
E09000008,Croydon,London,London,2020-03-13T23:59:00+00:00,1
E10000006,Cumbria,North West,North West,2020-03-13T23:59:00+00:00,8
E06000005,Darlington,North East,North East,2020-03-13T23:59:00+00:00,0
E06000015,Derby,East Midlands,East Midlands,2020-03-13T23:59:00+00:00,1
E10000007,Derbyshire,East Midlands,East Midlands,2020-03-13T23:59:00+00:00,4
E10000008,Devon,South West,South West,2020-03-13T23:59:00+00:00,14
E08000017,Doncaster,Yorkshire and The Humber,Yorkshire and The Humber,2020-03-13T23:59:00+00:00,0
E06000059,Dorset,South West,South West,2020-03-13T23:59:00+00:00,1
E08000027,Dudley,West Midlands,West Midlands,2020-03-13T23:59:00+00:00,4
E09000009,Ealing,London,London,2020-03-13T23:59:00+00:00,8
E06000011,East Riding of Yorkshire,Yorkshire and The Humber,Yorkshire and The Humber,2020-03-13T23:59:00+00:00,1
E10000011,East Sussex,South East,South East,2020-03-13T23:59:00+00:00,0
E09000010,Enfield,London,London,2020-03-13T23:59:00+00:00,2
E10000012,Essex,East of England,East of England,2020-03-13T23:59:00+00:00,9
E08000037,Gateshead,North East,North East,2020-03-13T23:59:00+00:00,1
E10000013,Gloucestershire,South West,South West,2020-03-13T23:59:00+00:00,5
E09000011,Greenwich,London,London,2020-03-13T23:59:00+00:00,1
E09000012,Hackney and City of London,London,London,2020-03-13T23:59:00+00:00,5
E06000006,Halton,North West,North West,2020-03-13T23:59:00+00:00,0
E09000013,Hammersmith and Fulham,London,London,2020-03-13T23:59:00+00:00,5
E10000014,Hampshire,South East,South East,2020-03-13T23:59:00+00:00,20
E09000014,Haringey,London,London,2020-03-13T23:59:00+00:00,3
E09000015,Harrow,London,London,2020-03-13T23:59:00+00:00,2
E06000001,Hartlepool,North East,North East,2020-03-13T23:59:00+00:00,0
E09000016,Havering,London,London,2020-03-13T23:59:00+00:00,1
E06000019,"Herefordshire, County of",West Midlands,West Midlands,2020-03-13T23:59:00+00:00,1
E10000015,Hertfordshire,East of England,East of England,2020-03-13T23:59:00+00:00,20
E09000017,Hillingdon,London,London,2020-03-13T23:59:00+00:00,4
E09000018,Hounslow,London,London,2020-03-13T23:59:00+00:00,5
E06000046,Isle of Wight,South East,South East,2020-03-13T23:59:00+00:00,1
E09000019,Islington,London,London,2020-03-13T23:59:00+00:00,1
E09000020,Kensington and Chelsea,London,London,2020-03-13T23:59:00+00:00,21
E10000016,Kent,South East,South East,2020-03-13T23:59:00+00:00,11
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,Yorkshire and The Humber,2020-03-13T23:59:00+00:00,1
E09000021,Kingston upon Thames,London,London,2020-03-13T23:59:00+00:00,2
E08000034,Kirklees,Yorkshire and The Humber,Yorkshire and The Humber,2020-03-13T23:59:00+00:00,1
E08000011,Knowsley,North West,North West,2020-03-13T23:59:00+00:00,0
E09000022,Lambeth,London,London,2020-03-13T23:59:00+00:00,9
E10000017,Lancashire,North West,North West,2020-03-13T23:59:00+00:00,6
E08000035,Leeds,Yorkshire and The Humber,Yorkshire and The Humber,2020-03-13T23:59:00+00:00,7
E06000016,Leicester,East Midlands,East Midlands,2020-03-13T23:59:00+00:00,2
E10000018,Leicestershire,East Midlands,East Midlands,2020-03-13T23:59:00+00:00,3
E09000023,Lewisham,London,London,2020-03-13T23:59:00+00:00,5
E10000019,Lincolnshire,East Midlands,East Midlands,2020-03-13T23:59:00+00:00,1
E08000012,Liverpool,North West,North West,2020-03-13T23:59:00+00:00,8
E06000032,Luton,East of England,East of England,2020-03-13T23:59:00+00:00,3
E08000003,Manchester,North West,North West,2020-03-13T23:59:00+00:00,7
E06000035,Medway,South East,South East,2020-03-13T23:59:00+00:00,2
E09000024,Merton,London,London,2020-03-13T23:59:00+00:00,4
E06000002,Middlesbrough,North East,North East,2020-03-13T23:59:00+00:00,0
E06000042,Milton Keynes,South East,South East,2020-03-13T23:59:00+00:00,2
E08000021,Newcastle upon Tyne,North East,North East,2020-03-13T23:59:00+00:00,5
E09000025,Newham,London,London,2020-03-13T23:59:00+00:00,0
E10000020,Norfolk,East of England,East of England,2020-03-13T23:59:00+00:00,0
E06000012,North East Lincolnshire,Yorkshire and The Humber,Yorkshire and The Humber,2020-03-13T23:59:00+00:00,0
E06000013,North Lincolnshire,Yorkshire and The Humber,Yorkshire and The Humber,2020-03-13T23:59:00+00:00,1
E06000024,North Somerset,South West,South West,2020-03-13T23:59:00+00:00,0
E08000022,North Tyneside,North East,North East,2020-03-13T23:59:00+00:00,3
E10000023,North Yorkshire,Yorkshire and The Humber,Yorkshire and The Humber,2020-03-13T23:59:00+00:00,4
E10000021,Northamptonshire,East Midlands,East Midlands,2020-03-13T23:59:00+00:00,6
