Area,Date,EConfirmed,EDeaths
Baden-Württemberg,2020-03-29T00:00:00+01:00,9794,101
Bayern,2020-03-29T00:00:00+01:00,12881,107
Berlin,2020-03-29T00:00:00+01:00,2360,9
Brandenburg,2020-03-29T00:00:00+01:00,721,1
Bremen,2020-03-29T00:00:00+01:00,275,2
Hamburg,2020-03-29T00:00:00+01:00,1846,4
Hessen,2020-03-29T00:00:00+01:00,2605,9
Mecklenburg-Vorpommern,2020-03-29T00:00:00+01:00,348,1
Niedersachsen,2020-03-29T00:00:00+01:00,3450,21
Nordrhein-Westfalen,2020-03-29T00:00:00+01:00,11400,98
Rheinland-Pfalz,2020-03-29T00:00:00+01:00,2396,12
Saarland,2020-03-29T00:00:00+01:00,560,2
Sachsen,2020-03-29T00:00:00+01:00,1617,9
Sachsen-Anhalt,2020-03-29T00:00:00+01:00,592,2
Schleswig-Holstein,2020-03-29T00:00:00+01:00,1005,6
Thüringen,2020-03-29T00:00:00+01:00,697,5
