Area,Date,EConfirmed,EDeaths
Baden-Württemberg,2020-03-26T00:00:00+01:00,7283,56
Bayern,2020-03-26T00:00:00+01:00,7993,47
Berlin,2020-03-26T00:00:00+01:00,1656,4
Brandenburg,2020-03-26T00:00:00+01:00,477,1
Bremen,2020-03-26T00:00:00+01:00,211,1
Hamburg,2020-03-26T00:00:00+01:00,1265,0
Hessen,2020-03-26T00:00:00+01:00,2157,6
Mecklenburg-Vorpommern,2020-03-26T00:00:00+01:00,244,0
Niedersachsen,2020-03-26T00:00:00+01:00,2347,8
Nordrhein-Westfalen,2020-03-26T00:00:00+01:00,7924,53
Rheinland-Pfalz,2020-03-26T00:00:00+01:00,1816,6
Saarland,2020-03-26T00:00:00+01:00,433,2
Sachsen,2020-03-26T00:00:00+01:00,1141,7
Sachsen-Anhalt,2020-03-26T00:00:00+01:00,418,1
Schleswig-Holstein,2020-03-26T00:00:00+01:00,675,3
Thüringen,2020-03-26T00:00:00+01:00,468,3
