Area,Date,EConfirmed,EDeaths
Baden-Württemberg,2020-03-21T00:00:00+01:00,3668,16
Bayern,2020-03-21T00:00:00+01:00,2960,19
Berlin,2020-03-21T00:00:00+01:00,866,1
Brandenburg,2020-03-21T00:00:00+01:00,254,0
Bremen,2020-03-21T00:00:00+01:00,142,0
Hamburg,2020-03-21T00:00:00+01:00,587,0
Hessen,2020-03-21T00:00:00+01:00,1080,2
Mecklenburg-Vorpommern,2020-03-21T00:00:00+01:00,165,0
Niedersachsen,2020-03-21T00:00:00+01:00,1023,0
Nordrhein-Westfalen,2020-03-21T00:00:00+01:00,3542,6
Rheinland-Pfalz,2020-03-21T00:00:00+01:00,938,1
Saarland,2020-03-21T00:00:00+01:00,187,0
Sachsen,2020-03-21T00:00:00+01:00,567,0
Sachsen-Anhalt,2020-03-21T00:00:00+01:00,188,0
Schleswig-Holstein,2020-03-21T00:00:00+01:00,308,1
Thüringen,2020-03-21T00:00:00+01:00,187,0
