Area,Date,EConfirmed,EDeaths
Baden-Württemberg,2020-03-23T00:00:00+01:00,3811,21
Bayern,2020-03-23T00:00:00+01:00,4892,26
Berlin,2020-03-23T00:00:00+01:00,1077,1
Brandenburg,2020-03-23T00:00:00+01:00,288,0
Bremen,2020-03-23T00:00:00+01:00,170,0
Hamburg,2020-03-23T00:00:00+01:00,943,0
Hessen,2020-03-23T00:00:00+01:00,1347,3
Mecklenburg-Vorpommern,2020-03-23T00:00:00+01:00,172,0
Niedersachsen,2020-03-23T00:00:00+01:00,1483,4
Nordrhein-Westfalen,2020-03-23T00:00:00+01:00,5615,28
Rheinland-Pfalz,2020-03-23T00:00:00+01:00,1177,2
Saarland,2020-03-23T00:00:00+01:00,200,0
Sachsen,2020-03-23T00:00:00+01:00,653,0
Sachsen-Anhalt,2020-03-23T00:00:00+01:00,212,0
Schleswig-Holstein,2020-03-23T00:00:00+01:00,383,1
Thüringen,2020-03-23T00:00:00+01:00,249,0
