Area,Date,EConfirmed,EDeaths
Baden-Württemberg,2020-03-18T00:00:00+01:00,1609,2
Bayern,2020-03-18T00:00:00+01:00,1243,4
Berlin,2020-03-18T00:00:00+01:00,391,0
Brandenburg,2020-03-18T00:00:00+01:00,92,0
Bremen,2020-03-18T00:00:00+01:00,69,0
Hamburg,2020-03-18T00:00:00+01:00,358,0
Hessen,2020-03-18T00:00:00+01:00,432,0
Mecklenburg-Vorpommern,2020-03-18T00:00:00+01:00,56,0
Niedersachsen,2020-03-18T00:00:00+01:00,478,0
Nordrhein-Westfalen,2020-03-18T00:00:00+01:00,2372,6
Rheinland-Pfalz,2020-03-18T00:00:00+01:00,474,0
Saarland,2020-03-18T00:00:00+01:00,88,0
Sachsen,2020-03-18T00:00:00+01:00,198,0
Sachsen-Anhalt,2020-03-18T00:00:00+01:00,105,0
Schleswig-Holstein,2020-03-18T00:00:00+01:00,159,0
Thüringen,2020-03-18T00:00:00+01:00,74,0
