Area,Date,EConfirmed,EDeaths
Baden-Württemberg,2020-03-27T00:00:00+01:00,8161,70
Bayern,2020-03-27T00:00:00+01:00,9481,55
Berlin,2020-03-27T00:00:00+01:00,1955,8
Brandenburg,2020-03-27T00:00:00+01:00,537,1
Bremen,2020-03-27T00:00:00+01:00,241,1
Hamburg,2020-03-27T00:00:00+01:00,1693,2
Hessen,2020-03-27T00:00:00+01:00,2323,7
Mecklenburg-Vorpommern,2020-03-27T00:00:00+01:00,259,0
Niedersachsen,2020-03-27T00:00:00+01:00,2810,10
Nordrhein-Westfalen,2020-03-27T00:00:00+01:00,9235,72
Rheinland-Pfalz,2020-03-27T00:00:00+01:00,1971,8
Saarland,2020-03-27T00:00:00+01:00,505,2
Sachsen,2020-03-27T00:00:00+01:00,1305,7
Sachsen-Anhalt,2020-03-27T00:00:00+01:00,458,2
Schleswig-Holstein,2020-03-27T00:00:00+01:00,812,4
Thüringen,2020-03-27T00:00:00+01:00,542,4
