Area,Timestamp,Confirmed
Blekinge,2020-03-26T11:30:00+01:00,15
Dalarna,2020-03-26T11:30:00+01:00,61
Gotland,2020-03-26T11:30:00+01:00,10
Gävleborg,2020-03-26T11:30:00+01:00,44
Halland,2020-03-26T11:30:00+01:00,78
Jämtland,2020-03-26T11:30:00+01:00,66
Jönköping,2020-03-26T11:30:00+01:00,79
Kalmar,2020-03-26T11:30:00+01:00,24
Kronoberg,2020-03-26T11:30:00+01:00,23
Norrbotten,2020-03-26T11:30:00+01:00,38
Skåne,2020-03-26T11:30:00+01:00,263
Stockholm,2020-03-26T11:30:00+01:00,1271
Södermanland,2020-03-26T11:30:00+01:00,133
Uppsala,2020-03-26T11:30:00+01:00,123
Värmland,2020-03-26T11:30:00+01:00,45
Västerbotten,2020-03-26T11:30:00+01:00,40
Västernorrland,2020-03-26T11:30:00+01:00,23
Västmanland,2020-03-26T11:30:00+01:00,36
Västra_Götaland,2020-03-26T11:30:00+01:00,312
Örebro,2020-03-26T11:30:00+01:00,73
Östergötland,2020-03-26T11:30:00+01:00,239
