Area,Timestamp,Confirmed
Blekinge,2021-04-20T11:30:00+02:00,10475
Dalarna,2021-04-20T11:30:00+02:00,22363
Gotland,2021-04-20T11:30:00+02:00,3476
Gävleborg,2021-04-20T11:30:00+02:00,31855
Halland,2021-04-20T11:30:00+02:00,36654
Jämtland,2021-04-20T11:30:00+02:00,10228
Jönköping,2021-04-20T11:30:00+02:00,37630
Kalmar,2021-04-20T11:30:00+02:00,19051
Kronoberg,2021-04-20T11:30:00+02:00,17392
Norrbotten,2021-04-20T11:30:00+02:00,19680
Skåne,2021-04-20T11:30:00+02:00,135516
Stockholm,2021-04-20T11:30:00+02:00,219693
Södermanland,2021-04-20T11:30:00+02:00,21403
Uppsala,2021-04-20T11:30:00+02:00,34495
Värmland,2021-04-20T11:30:00+02:00,15459
Västerbotten,2021-04-20T11:30:00+02:00,19896
Västernorrland,2021-04-20T11:30:00+02:00,21848
Västmanland,2021-04-20T11:30:00+02:00,23581
Västra Götaland,2021-04-20T11:30:00+02:00,163317
Örebro,2021-04-20T11:30:00+02:00,26762
Östergötland,2021-04-20T11:30:00+02:00,33566
