Area,Timestamp,Confirmed
Blekinge,2020-06-14T11:30:00+02:00,369
Dalarna,2020-06-14T11:30:00+02:00,1385
Gotland,2020-06-14T11:30:00+02:00,109
Gävleborg,2020-06-14T11:30:00+02:00,1763
Halland,2020-06-14T11:30:00+02:00,1060
Jämtland,2020-06-14T11:30:00+02:00,884
Jönköping,2020-06-14T11:30:00+02:00,2291
Kalmar,2020-06-14T11:30:00+02:00,476
Kronoberg,2020-06-14T11:30:00+02:00,1002
Norrbotten,2020-06-14T11:30:00+02:00,608
Skåne,2020-06-14T11:30:00+02:00,2270
Stockholm,2020-06-14T11:30:00+02:00,15971
Södermanland,2020-06-14T11:30:00+02:00,1715
Uppsala,2020-06-14T11:30:00+02:00,2450
Värmland,2020-06-14T11:30:00+02:00,752
Västerbotten,2020-06-14T11:30:00+02:00,574
Västernorrland,2020-06-14T11:30:00+02:00,994
Västmanland,2020-06-14T11:30:00+02:00,1718
Västra Götaland,2020-06-14T11:30:00+02:00,10609
Örebro,2020-06-14T11:30:00+02:00,2099
Östergötland,2020-06-14T11:30:00+02:00,2515
