Area,Timestamp,Confirmed
Blekinge,2020-07-24T11:30:00+02:00,480
Dalarna,2020-07-24T11:30:00+02:00,1936
Gotland,2020-07-24T11:30:00+02:00,219
Gävleborg,2020-07-24T11:30:00+02:00,3108
Halland,2020-07-24T11:30:00+02:00,1706
Jämtland,2020-07-24T11:30:00+02:00,1113
Jönköping,2020-07-24T11:30:00+02:00,4630
Kalmar,2020-07-24T11:30:00+02:00,761
Kronoberg,2020-07-24T11:30:00+02:00,1135
Norrbotten,2020-07-24T11:30:00+02:00,1564
Skåne,2020-07-24T11:30:00+02:00,3535
Stockholm,2020-07-24T11:30:00+02:00,22997
Södermanland,2020-07-24T11:30:00+02:00,2379
Uppsala,2020-07-24T11:30:00+02:00,3528
Värmland,2020-07-24T11:30:00+02:00,1017
Västerbotten,2020-07-24T11:30:00+02:00,891
Västernorrland,2020-07-24T11:30:00+02:00,1723
Västmanland,2020-07-24T11:30:00+02:00,2594
Västra Götaland,2020-07-24T11:30:00+02:00,17732
Örebro,2020-07-24T11:30:00+02:00,2470
Östergötland,2020-07-24T11:30:00+02:00,3479
