Area,Timestamp,Confirmed
Blekinge,2022-01-18T11:30:00+01:00,18687
Dalarna,2022-01-18T11:30:00+01:00,42563
Gotland,2022-01-18T11:30:00+01:00,6925
Gävleborg,2022-01-18T11:30:00+01:00,49530
Halland,2022-01-18T11:30:00+01:00,67537
Jämtland,2022-01-18T11:30:00+01:00,22995
Jönköping,2022-01-18T11:30:00+01:00,60738
Kalmar,2022-01-18T11:30:00+01:00,35719
Kronoberg,2022-01-18T11:30:00+01:00,31966
Norrbotten,2022-01-18T11:30:00+01:00,35250
Skåne,2022-01-18T11:30:00+01:00,243203
Stockholm,2022-01-18T11:30:00+01:00,428016
Södermanland,2022-01-18T11:30:00+01:00,41668
Uppsala,2022-01-18T11:30:00+01:00,61523
Värmland,2022-01-18T11:30:00+01:00,35433
Västerbotten,2022-01-18T11:30:00+01:00,35360
Västernorrland,2022-01-18T11:30:00+01:00,36486
Västmanland,2022-01-18T11:30:00+01:00,47902
Västra Götaland,2022-01-18T11:30:00+01:00,287344
Örebro,2022-01-18T11:30:00+01:00,51913
Östergötland,2022-01-18T11:30:00+01:00,59578
