Area,Timestamp,Confirmed
Blekinge,2021-10-26T11:30:00+02:00,13501
Dalarna,2021-10-26T11:30:00+02:00,28810
Gotland,2021-10-26T11:30:00+02:00,4575
Gävleborg,2021-10-26T11:30:00+02:00,37482
Halland,2021-10-26T11:30:00+02:00,43329
Jämtland,2021-10-26T11:30:00+02:00,13229
Jönköping,2021-10-26T11:30:00+02:00,45779
Kalmar,2021-10-26T11:30:00+02:00,25654
Kronoberg,2021-10-26T11:30:00+02:00,23695
Norrbotten,2021-10-26T11:30:00+02:00,28078
Skåne,2021-10-26T11:30:00+02:00,166134
Stockholm,2021-10-26T11:30:00+02:00,279338
Södermanland,2021-10-26T11:30:00+02:00,27633
Uppsala,2021-10-26T11:30:00+02:00,42857
Värmland,2021-10-26T11:30:00+02:00,21606
Västerbotten,2021-10-26T11:30:00+02:00,26214
Västernorrland,2021-10-26T11:30:00+02:00,27734
Västmanland,2021-10-26T11:30:00+02:00,30575
Västra Götaland,2021-10-26T11:30:00+02:00,203941
Örebro,2021-10-26T11:30:00+02:00,34431
Östergötland,2021-10-26T11:30:00+02:00,44935
