Area,Timestamp,Confirmed
Blekinge,2020-04-26T11:30:00+02:00,64
Dalarna,2020-04-26T11:30:00+02:00,688
Gotland,2020-04-26T11:30:00+02:00,31
Gävleborg,2020-04-26T11:30:00+02:00,520
Halland,2020-04-26T11:30:00+02:00,325
Jämtland,2020-04-26T11:30:00+02:00,276
Jönköping,2020-04-26T11:30:00+02:00,686
Kalmar,2020-04-26T11:30:00+02:00,142
Kronoberg,2020-04-26T11:30:00+02:00,263
Norrbotten,2020-04-26T11:30:00+02:00,233
Skåne,2020-04-26T11:30:00+02:00,678
Stockholm,2020-04-26T11:30:00+02:00,7349
Södermanland,2020-04-26T11:30:00+02:00,1095
Uppsala,2020-04-26T11:30:00+02:00,879
Värmland,2020-04-26T11:30:00+02:00,137
Västerbotten,2020-04-26T11:30:00+02:00,294
Västernorrland,2020-04-26T11:30:00+02:00,207
Västmanland,2020-04-26T11:30:00+02:00,685
Västra Götaland,2020-04-26T11:30:00+02:00,2086
Örebro,2020-04-26T11:30:00+02:00,872
Östergötland,2020-04-26T11:30:00+02:00,1361
