Area,Timestamp,Confirmed
Blekinge,2020-04-05T11:30:00+02:00,31
Dalarna,2020-04-05T11:30:00+02:00,177
Gotland,2020-04-05T11:30:00+02:00,12
Gävleborg,2020-04-05T11:30:00+02:00,175
Halland,2020-04-05T11:30:00+02:00,127
Jämtland,2020-04-05T11:30:00+02:00,89
Jönköping,2020-04-05T11:30:00+02:00,223
Kalmar,2020-04-05T11:30:00+02:00,49
Kronoberg,2020-04-05T11:30:00+02:00,49
Norrbotten,2020-04-05T11:30:00+02:00,80
Skåne,2020-04-05T11:30:00+02:00,333
Stockholm,2020-04-05T11:30:00+02:00,3016
Södermanland,2020-04-05T11:30:00+02:00,424
Uppsala,2020-04-05T11:30:00+02:00,293
Värmland,2020-04-05T11:30:00+02:00,55
Västerbotten,2020-04-05T11:30:00+02:00,114
Västernorrland,2020-04-05T11:30:00+02:00,66
Västmanland,2020-04-05T11:30:00+02:00,140
Västra_Götaland,2020-04-05T11:30:00+02:00,561
Örebro,2020-04-05T11:30:00+02:00,172
Östergötland,2020-04-05T11:30:00+02:00,644
