Area,Timestamp,Confirmed
Blekinge,2020-09-14T11:30:00+02:00,617
Dalarna,2020-09-14T11:30:00+02:00,2296
Gotland,2020-09-14T11:30:00+02:00,323
Gävleborg,2020-09-14T11:30:00+02:00,3268
Halland,2020-09-14T11:30:00+02:00,2323
Jämtland,2020-09-14T11:30:00+02:00,1219
Jönköping,2020-09-14T11:30:00+02:00,5160
Kalmar,2020-09-14T11:30:00+02:00,902
Kronoberg,2020-09-14T11:30:00+02:00,1505
Norrbotten,2020-09-14T11:30:00+02:00,1679
Skåne,2020-09-14T11:30:00+02:00,5239
Stockholm,2020-09-14T11:30:00+02:00,23541
Södermanland,2020-09-14T11:30:00+02:00,2451
Uppsala,2020-09-14T11:30:00+02:00,3888
Värmland,2020-09-14T11:30:00+02:00,1227
Västerbotten,2020-09-14T11:30:00+02:00,891
Västernorrland,2020-09-14T11:30:00+02:00,1876
Västmanland,2020-09-14T11:30:00+02:00,2837
Västra Götaland,2020-09-14T11:30:00+02:00,19352
Örebro,2020-09-14T11:30:00+02:00,2823
Östergötland,2020-09-14T11:30:00+02:00,3928
