Area,Timestamp,Confirmed
Blekinge,2020-03-20T11:30:00+01:00,12
Dalarna,2020-03-20T11:30:00+01:00,17
Gotland,2020-03-20T11:30:00+01:00,5
Gävleborg,2020-03-20T11:30:00+01:00,20
Halland,2020-03-20T11:30:00+01:00,55
Jämtland,2020-03-20T11:30:00+01:00,30
Jönköping,2020-03-20T11:30:00+01:00,51
Kalmar,2020-03-20T11:30:00+01:00,10
Kronoberg,2020-03-20T11:30:00+01:00,18
Norrbotten,2020-03-20T11:30:00+01:00,13
Skåne,2020-03-20T11:30:00+01:00,223
Stockholm,2020-03-20T11:30:00+01:00,651
Södermanland,2020-03-20T11:30:00+01:00,47
Uppsala,2020-03-20T11:30:00+01:00,70
Värmland,2020-03-20T11:30:00+01:00,38
Västerbotten,2020-03-20T11:30:00+01:00,29
Västernorrland,2020-03-20T11:30:00+01:00,14
Västmanland,2020-03-20T11:30:00+01:00,21
Västra_Götaland,2020-03-20T11:30:00+01:00,242
Örebro,2020-03-20T11:30:00+01:00,42
Östergötland,2020-03-20T11:30:00+01:00,126
