Area,Timestamp,Confirmed
Blekinge,2020-05-14T11:30:00+02:00,92
Dalarna,2020-05-14T11:30:00+02:00,1010
Gotland,2020-05-14T11:30:00+02:00,66
Gävleborg,2020-05-14T11:30:00+02:00,882
Halland,2020-05-14T11:30:00+02:00,508
Jämtland,2020-05-14T11:30:00+02:00,495
Jönköping,2020-05-14T11:30:00+02:00,1081
Kalmar,2020-05-14T11:30:00+02:00,238
Kronoberg,2020-05-14T11:30:00+02:00,566
Norrbotten,2020-05-14T11:30:00+02:00,326
Skåne,2020-05-14T11:30:00+02:00,1159
Stockholm,2020-05-14T11:30:00+02:00,10188
Södermanland,2020-05-14T11:30:00+02:00,1474
Uppsala,2020-05-14T11:30:00+02:00,1395
Värmland,2020-05-14T11:30:00+02:00,295
Västerbotten,2020-05-14T11:30:00+02:00,391
Västernorrland,2020-05-14T11:30:00+02:00,389
Västmanland,2020-05-14T11:30:00+02:00,978
Västra Götaland,2020-05-14T11:30:00+02:00,3910
Örebro,2020-05-14T11:30:00+02:00,1433
Östergötland,2020-05-14T11:30:00+02:00,1706
