Area,Timestamp,Confirmed
Blekinge,2020-06-08T11:30:00+02:00,297
Dalarna,2020-06-08T11:30:00+02:00,1315
Gotland,2020-06-08T11:30:00+02:00,90
Gävleborg,2020-06-08T11:30:00+02:00,1516
Halland,2020-06-08T11:30:00+02:00,920
Jämtland,2020-06-08T11:30:00+02:00,809
Jönköping,2020-06-08T11:30:00+02:00,1751
Kalmar,2020-06-08T11:30:00+02:00,408
Kronoberg,2020-06-08T11:30:00+02:00,930
Norrbotten,2020-06-08T11:30:00+02:00,503
Skåne,2020-06-08T11:30:00+02:00,1995
Stockholm,2020-06-08T11:30:00+02:00,14803
Södermanland,2020-06-08T11:30:00+02:00,1669
Uppsala,2020-06-08T11:30:00+02:00,2244
Värmland,2020-06-08T11:30:00+02:00,641
Västerbotten,2020-06-08T11:30:00+02:00,535
Västernorrland,2020-06-08T11:30:00+02:00,887
Västmanland,2020-06-08T11:30:00+02:00,1457
Västra Götaland,2020-06-08T11:30:00+02:00,8128
Örebro,2020-06-08T11:30:00+02:00,1975
Östergötland,2020-06-08T11:30:00+02:00,2260
