Area,Timestamp,Confirmed
Blekinge,2021-10-27T11:30:00+02:00,13512
Dalarna,2021-10-27T11:30:00+02:00,28833
Gotland,2021-10-27T11:30:00+02:00,4576
Gävleborg,2021-10-27T11:30:00+02:00,37516
Halland,2021-10-27T11:30:00+02:00,43366
Jämtland,2021-10-27T11:30:00+02:00,13241
Jönköping,2021-10-27T11:30:00+02:00,45795
Kalmar,2021-10-27T11:30:00+02:00,25700
Kronoberg,2021-10-27T11:30:00+02:00,23704
Norrbotten,2021-10-27T11:30:00+02:00,28112
Skåne,2021-10-27T11:30:00+02:00,166225
Stockholm,2021-10-27T11:30:00+02:00,279471
Södermanland,2021-10-27T11:30:00+02:00,27672
Uppsala,2021-10-27T11:30:00+02:00,42911
Värmland,2021-10-27T11:30:00+02:00,21626
Västerbotten,2021-10-27T11:30:00+02:00,26239
Västernorrland,2021-10-27T11:30:00+02:00,27764
Västmanland,2021-10-27T11:30:00+02:00,30665
Västra Götaland,2021-10-27T11:30:00+02:00,204070
Örebro,2021-10-27T11:30:00+02:00,34456
Östergötland,2021-10-27T11:30:00+02:00,44968
