Area,Timestamp,Confirmed
Blekinge,2021-11-08T11:30:00+01:00,13612
Dalarna,2021-11-08T11:30:00+01:00,28980
Gotland,2021-11-08T11:30:00+01:00,4585
Gävleborg,2021-11-08T11:30:00+01:00,37801
Halland,2021-11-08T11:30:00+01:00,43556
Jämtland,2021-11-08T11:30:00+01:00,13274
Jönköping,2021-11-08T11:30:00+01:00,45943
Kalmar,2021-11-08T11:30:00+01:00,25984
Kronoberg,2021-11-08T11:30:00+01:00,23794
Norrbotten,2021-11-08T11:30:00+01:00,28418
Skåne,2021-11-08T11:30:00+01:00,167333
Stockholm,2021-11-08T11:30:00+01:00,281926
Södermanland,2021-11-08T11:30:00+01:00,27876
Uppsala,2021-11-08T11:30:00+01:00,43268
Värmland,2021-11-08T11:30:00+01:00,21829
Västerbotten,2021-11-08T11:30:00+01:00,26518
Västernorrland,2021-11-08T11:30:00+01:00,27873
Västmanland,2021-11-08T11:30:00+01:00,31333
Västra Götaland,2021-11-08T11:30:00+01:00,205276
Örebro,2021-11-08T11:30:00+01:00,34808
Östergötland,2021-11-08T11:30:00+01:00,45205
