Area,Timestamp,Confirmed
Blekinge,2020-11-09T11:30:00+01:00,1247
Dalarna,2020-11-09T11:30:00+01:00,4185
Gotland,2020-11-09T11:30:00+01:00,692
Gävleborg,2020-11-09T11:30:00+01:00,4425
Halland,2020-11-09T11:30:00+01:00,4516
Jämtland,2020-11-09T11:30:00+01:00,1837
Jönköping,2020-11-09T11:30:00+01:00,8258
Kalmar,2020-11-09T11:30:00+01:00,1681
Kronoberg,2020-11-09T11:30:00+01:00,3458
Norrbotten,2020-11-09T11:30:00+01:00,2976
Skåne,2020-11-09T11:30:00+01:00,14787
Stockholm,2020-11-09T11:30:00+01:00,46377
Södermanland,2020-11-09T11:30:00+01:00,3877
Uppsala,2020-11-09T11:30:00+01:00,7464
Värmland,2020-11-09T11:30:00+01:00,2150
Västerbotten,2020-11-09T11:30:00+01:00,2152
Västernorrland,2020-11-09T11:30:00+01:00,2618
Västmanland,2020-11-09T11:30:00+01:00,4968
Västra Götaland,2020-11-09T11:30:00+01:00,30555
Örebro,2020-11-09T11:30:00+01:00,6575
Östergötland,2020-11-09T11:30:00+01:00,7442
