Area,Timestamp,Confirmed
Blekinge,2020-08-06T11:30:00+02:00,514
Dalarna,2020-08-06T11:30:00+02:00,1996
Gotland,2020-08-06T11:30:00+02:00,268
Gävleborg,2020-08-06T11:30:00+02:00,3158
Halland,2020-08-06T11:30:00+02:00,1827
Jämtland,2020-08-06T11:30:00+02:00,1152
Jönköping,2020-08-06T11:30:00+02:00,4746
Kalmar,2020-08-06T11:30:00+02:00,786
Kronoberg,2020-08-06T11:30:00+02:00,1181
Norrbotten,2020-08-06T11:30:00+02:00,1615
Skåne,2020-08-06T11:30:00+02:00,3826
Stockholm,2020-08-06T11:30:00+02:00,23575
Södermanland,2020-08-06T11:30:00+02:00,2397
Uppsala,2020-08-06T11:30:00+02:00,3602
Värmland,2020-08-06T11:30:00+02:00,1064
Västerbotten,2020-08-06T11:30:00+02:00,919
Västernorrland,2020-08-06T11:30:00+02:00,1803
Västmanland,2020-08-06T11:30:00+02:00,2673
Västra Götaland,2020-08-06T11:30:00+02:00,18742
Örebro,2020-08-06T11:30:00+02:00,2539
Östergötland,2020-08-06T11:30:00+02:00,3584
