Area,Timestamp,Confirmed
Blekinge,2020-05-18T11:30:00+02:00,103
Dalarna,2020-05-18T11:30:00+02:00,1062
Gotland,2020-05-18T11:30:00+02:00,66
Gävleborg,2020-05-18T11:30:00+02:00,993
Halland,2020-05-18T11:30:00+02:00,572
Jämtland,2020-05-18T11:30:00+02:00,553
Jönköping,2020-05-18T11:30:00+02:00,1175
Kalmar,2020-05-18T11:30:00+02:00,262
Kronoberg,2020-05-18T11:30:00+02:00,638
Norrbotten,2020-05-18T11:30:00+02:00,341
Skåne,2020-05-18T11:30:00+02:00,1280
Stockholm,2020-05-18T11:30:00+02:00,11472
Södermanland,2020-05-18T11:30:00+02:00,1502
Uppsala,2020-05-18T11:30:00+02:00,1525
Värmland,2020-05-18T11:30:00+02:00,332
Västerbotten,2020-05-18T11:30:00+02:00,422
Västernorrland,2020-05-18T11:30:00+02:00,456
Västmanland,2020-05-18T11:30:00+02:00,1039
Västra Götaland,2020-05-18T11:30:00+02:00,4427
Örebro,2020-05-18T11:30:00+02:00,1515
Östergötland,2020-05-18T11:30:00+02:00,1785
