Area,Timestamp,Confirmed
Blekinge,2021-05-06T11:30:00+02:00,11836
Dalarna,2021-05-06T11:30:00+02:00,24815
Gotland,2021-05-06T11:30:00+02:00,3715
Gävleborg,2021-05-06T11:30:00+02:00,33930
Halland,2021-05-06T11:30:00+02:00,38748
Jämtland,2021-05-06T11:30:00+02:00,11426
Jönköping,2021-05-06T11:30:00+02:00,40396
Kalmar,2021-05-06T11:30:00+02:00,21891
Kronoberg,2021-05-06T11:30:00+02:00,19915
Norrbotten,2021-05-06T11:30:00+02:00,21918
Skåne,2021-05-06T11:30:00+02:00,145278
Stockholm,2021-05-06T11:30:00+02:00,238733
Södermanland,2021-05-06T11:30:00+02:00,23780
Uppsala,2021-05-06T11:30:00+02:00,37882
Värmland,2021-05-06T11:30:00+02:00,17425
Västerbotten,2021-05-06T11:30:00+02:00,21589
Västernorrland,2021-05-06T11:30:00+02:00,24914
Västmanland,2021-05-06T11:30:00+02:00,25585
Västra Götaland,2021-05-06T11:30:00+02:00,176041
Örebro,2021-05-06T11:30:00+02:00,29512
Östergötland,2021-05-06T11:30:00+02:00,38463
