Area,Timestamp,Confirmed
Blekinge,2021-11-23T11:30:00+01:00,13842
Dalarna,2021-11-23T11:30:00+01:00,29210
Gotland,2021-11-23T11:30:00+01:00,4679
Gävleborg,2021-11-23T11:30:00+01:00,38336
Halland,2021-11-23T11:30:00+01:00,44131
Jämtland,2021-11-23T11:30:00+01:00,13379
Jönköping,2021-11-23T11:30:00+01:00,46242
Kalmar,2021-11-23T11:30:00+01:00,26521
Kronoberg,2021-11-23T11:30:00+01:00,23942
Norrbotten,2021-11-23T11:30:00+01:00,28666
Skåne,2021-11-23T11:30:00+01:00,169721
Stockholm,2021-11-23T11:30:00+01:00,285959
Södermanland,2021-11-23T11:30:00+01:00,28225
Uppsala,2021-11-23T11:30:00+01:00,43863
Värmland,2021-11-23T11:30:00+01:00,22273
Västerbotten,2021-11-23T11:30:00+01:00,26909
Västernorrland,2021-11-23T11:30:00+01:00,28129
Västmanland,2021-11-23T11:30:00+01:00,32360
Västra Götaland,2021-11-23T11:30:00+01:00,207232
Örebro,2021-11-23T11:30:00+01:00,35551
Östergötland,2021-11-23T11:30:00+01:00,45466
