Area,Timestamp,Confirmed
Blekinge,2022-03-01T11:30:00+01:00,28933
Dalarna,2022-03-01T11:30:00+01:00,67248
Gotland,2022-03-01T11:30:00+01:00,11182
Gävleborg,2022-03-01T11:30:00+01:00,72036
Halland,2022-03-01T11:30:00+01:00,102666
Jämtland,2022-03-01T11:30:00+01:00,32029
Jönköping,2022-03-01T11:30:00+01:00,84832
Kalmar,2022-03-01T11:30:00+01:00,58458
Kronoberg,2022-03-01T11:30:00+01:00,48056
Norrbotten,2022-03-01T11:30:00+01:00,47332
Skåne,2022-03-01T11:30:00+01:00,333303
Stockholm,2022-03-01T11:30:00+01:00,562761
Södermanland,2022-03-01T11:30:00+01:00,61690
Uppsala,2022-03-01T11:30:00+01:00,87465
Värmland,2022-03-01T11:30:00+01:00,62836
Västerbotten,2022-03-01T11:30:00+01:00,54135
Västernorrland,2022-03-01T11:30:00+01:00,51675
Västmanland,2022-03-01T11:30:00+01:00,73977
Västra Götaland,2022-03-01T11:30:00+01:00,428216
Örebro,2022-03-01T11:30:00+01:00,89794
Östergötland,2022-03-01T11:30:00+01:00,92840
