Area,Timestamp,Confirmed
Blekinge,2020-03-22T11:30:00+01:00,12
Dalarna,2020-03-22T11:30:00+01:00,22
Gotland,2020-03-22T11:30:00+01:00,5
Gävleborg,2020-03-22T11:30:00+01:00,24
Halland,2020-03-22T11:30:00+01:00,59
Jämtland,2020-03-22T11:30:00+01:00,53
Jönköping,2020-03-22T11:30:00+01:00,56
Kalmar,2020-03-22T11:30:00+01:00,12
Kronoberg,2020-03-22T11:30:00+01:00,18
Norrbotten,2020-03-22T11:30:00+01:00,19
Skåne,2020-03-22T11:30:00+01:00,231
Stockholm,2020-03-22T11:30:00+01:00,781
Södermanland,2020-03-22T11:30:00+01:00,64
Uppsala,2020-03-22T11:30:00+01:00,77
Värmland,2020-03-22T11:30:00+01:00,40
Västerbotten,2020-03-22T11:30:00+01:00,30
Västernorrland,2020-03-22T11:30:00+01:00,14
Västmanland,2020-03-22T11:30:00+01:00,21
Västra_Götaland,2020-03-22T11:30:00+01:00,254
Örebro,2020-03-22T11:30:00+01:00,42
Östergötland,2020-03-22T11:30:00+01:00,151
