Area,Timestamp,Confirmed
Blekinge,2022-02-10T11:30:00+01:00,28119
Dalarna,2022-02-10T11:30:00+01:00,65072
Gotland,2022-02-10T11:30:00+01:00,10884
Gävleborg,2022-02-10T11:30:00+01:00,70162
Halland,2022-02-10T11:30:00+01:00,100532
Jämtland,2022-02-10T11:30:00+01:00,31153
Jönköping,2022-02-10T11:30:00+01:00,83440
Kalmar,2022-02-10T11:30:00+01:00,56419
Kronoberg,2022-02-10T11:30:00+01:00,46821
Norrbotten,2022-02-10T11:30:00+01:00,45941
Skåne,2022-02-10T11:30:00+01:00,328039
Stockholm,2022-02-10T11:30:00+01:00,554310
Södermanland,2022-02-10T11:30:00+01:00,59844
Uppsala,2022-02-10T11:30:00+01:00,85679
Värmland,2022-02-10T11:30:00+01:00,59968
Västerbotten,2022-02-10T11:30:00+01:00,50979
Västernorrland,2022-02-10T11:30:00+01:00,50332
Västmanland,2022-02-10T11:30:00+01:00,71784
Västra Götaland,2022-02-10T11:30:00+01:00,420941
Örebro,2022-02-10T11:30:00+01:00,86260
Östergötland,2022-02-10T11:30:00+01:00,90651
