Area,Date,Confirmed
Aichach-Friedberg,2020-03-17T12:00:00,15
Altötting,2020-03-17T12:00:00,1
Amberg Stadt,2020-03-17T12:00:00,2
Amberg-Sulzbach,2020-03-17T12:00:00,15
Ansbach,2020-03-17T12:00:00,4
Aschaffenburg,2020-03-17T12:00:00,22
Aschaffenburg Stadt,2020-03-17T12:00:00,19
Augsburg,2020-03-17T12:00:00,41
Augsburg Stadt,2020-03-17T12:00:00,22
Bad Kissingen,2020-03-17T12:00:00,7
Bad Tölz,2020-03-17T12:00:00,11
Bamberg,2020-03-17T12:00:00,10
Bamberg Stadt,2020-03-17T12:00:00,7
Bayreuth,2020-03-17T12:00:00,7
Berchtesgadener Land,2020-03-17T12:00:00,10
Cham,2020-03-17T12:00:00,29
Coburg,2020-03-17T12:00:00,8
Dachau,2020-03-17T12:00:00,15
Deggendorf,2020-03-17T12:00:00,22
Dingolfing-Landau,2020-03-17T12:00:00,17
Donau-Ries,2020-03-17T12:00:00,9
Ebersberg,2020-03-17T12:00:00,34
Eichstätt,2020-03-17T12:00:00,3
Erding,2020-03-17T12:00:00,25
Erlangen Stadt,2020-03-17T12:00:00,9
Erlangen-Höchstadt,2020-03-17T12:00:00,10
Forchheim,2020-03-17T12:00:00,8
Freising,2020-03-17T12:00:00,105
Freyung-Grafenau,2020-03-17T12:00:00,8
Fürstenfeldbruck,2020-03-17T12:00:00,23
Fürth,2020-03-17T12:00:00,3
Fürth Stadt,2020-03-17T12:00:00,10
Garmisch-Partenkirchen,2020-03-17T12:00:00,8
Haßberge,2020-03-17T12:00:00,8
Hof,2020-03-17T12:00:00,6
Hof Stadt,2020-03-17T12:00:00,5
Ingolstadt Stadt,2020-03-17T12:00:00,2
Kaufbeuren Stadt,2020-03-17T12:00:00,4
Kelheim,2020-03-17T12:00:00,6
Kitzingen,2020-03-17T12:00:00,6
Kronach,2020-03-17T12:00:00,4
Kulmbach,2020-03-17T12:00:00,8
Landsberg am Lech,2020-03-17T12:00:00,14
Landshut,2020-03-17T12:00:00,19
Landshut Stadt,2020-03-17T12:00:00,7
Lichtenfels,2020-03-17T12:00:00,5
Lindau (Bodensee),2020-03-17T12:00:00,21
Main-Spessart,2020-03-17T12:00:00,8
Memmingen Stadt,2020-03-17T12:00:00,3
Miesbach,2020-03-17T12:00:00,32
Miltenberg,2020-03-17T12:00:00,9
Mühldorf a.Inn,2020-03-17T12:00:00,5
München,2020-03-17T12:00:00,115
München Stadt,2020-03-17T12:00:00,321
Neu-Ulm,2020-03-17T12:00:00,17
Neumarkt i.d.Opf.,2020-03-17T12:00:00,17
Neustadt a.d. Aisch-Bad Windsheim,2020-03-17T12:00:00,4
Neustadt a.d. Waldnaab,2020-03-17T12:00:00,2
Nürnberg Stadt,2020-03-17T12:00:00,33
Nürnberger Land,2020-03-17T12:00:00,11
Oberallgäu,2020-03-17T12:00:00,35
Ostallgäu,2020-03-17T12:00:00,16
Passau,2020-03-17T12:00:00,19
Passau Stadt,2020-03-17T12:00:00,4
Pfaffenhofen a.d.Ilm,2020-03-17T12:00:00,15
Regen,2020-03-17T12:00:00,18
Regensburg,2020-03-17T12:00:00,27
Regensburg Stadt,2020-03-17T12:00:00,26
Rhön-Grabfeld,2020-03-17T12:00:00,3
Rosenheim,2020-03-17T12:00:00,40
Rosenheim Stadt,2020-03-17T12:00:00,1
Roth,2020-03-17T12:00:00,7
Rottal-Inn,2020-03-17T12:00:00,29
Schwabach Stadt,2020-03-17T12:00:00,6
Schwandorf,2020-03-17T12:00:00,17
Schweinfurt,2020-03-17T12:00:00,13
Schweinfurt Stadt,2020-03-17T12:00:00,2
Starnberg,2020-03-17T12:00:00,49
Straubing Stadt,2020-03-17T12:00:00,8
Straubing-Bogen,2020-03-17T12:00:00,9
Tirschenreuth,2020-03-17T12:00:00,38
Traunstein,2020-03-17T12:00:00,19
Unterallgäu,2020-03-17T12:00:00,18
Weiden Stadt,2020-03-17T12:00:00,7
Weilheim-Schongau,2020-03-17T12:00:00,27
Weißenburg-Gunzenhausen,2020-03-17T12:00:00,2
Wunsiedel i.Fichtelgebirge,2020-03-17T12:00:00,11
Würzburg,2020-03-17T12:00:00,60
Würzburg Stadt,2020-03-17T12:00:00,41
