Area,Date,Confirmed
Amberg Stadt,2020-03-15T12:00:00,1
Amberg-Sulzbach,2020-03-15T12:00:00,7
Aschaffenburg,2020-03-15T12:00:00,3
Aschaffenburg Stadt,2020-03-15T12:00:00,6
Augsburg,2020-03-15T12:00:00,25
Augsburg Stadt,2020-03-15T12:00:00,6
Bad Kissingen,2020-03-15T12:00:00,3
Bad Tölz,2020-03-15T12:00:00,10
Bamberg,2020-03-15T12:00:00,7
Bamberg Stadt,2020-03-15T12:00:00,1
Bayreuth,2020-03-15T12:00:00,5
Cham,2020-03-15T12:00:00,21
Coburg,2020-03-15T12:00:00,3
Deggendorf,2020-03-15T12:00:00,1
Dingolfing-Landau,2020-03-15T12:00:00,13
Donau-Ries,2020-03-15T12:00:00,3
Ebersberg,2020-03-15T12:00:00,21
Eichstätt,2020-03-15T12:00:00,2
Erding,2020-03-15T12:00:00,11
Erlangen Stadt,2020-03-15T12:00:00,6
Erlangen-Höchstadt,2020-03-15T12:00:00,10
Forchheim,2020-03-15T12:00:00,4
Freising,2020-03-15T12:00:00,74
Fürstenfeldbruck,2020-03-15T12:00:00,18
Fürth,2020-03-15T12:00:00,3
Fürth Stadt,2020-03-15T12:00:00,8
Haßberge,2020-03-15T12:00:00,6
Hof,2020-03-15T12:00:00,3
Hof Stadt,2020-03-15T12:00:00,1
Ingolstadt Stadt,2020-03-15T12:00:00,1
Kaufbeuren Stadt,2020-03-15T12:00:00,1
Kelheim,2020-03-15T12:00:00,3
Kitzingen,2020-03-15T12:00:00,3
Kronach,2020-03-15T12:00:00,2
Landsberg am Lech,2020-03-15T12:00:00,4
Landshut,2020-03-15T12:00:00,8
Landshut Stadt,2020-03-15T12:00:00,4
Lindau (Bodensee),2020-03-15T12:00:00,12
Main-Spessart,2020-03-15T12:00:00,5
Memmingen Stadt,2020-03-15T12:00:00,1
Miesbach,2020-03-15T12:00:00,15
Miltenberg,2020-03-15T12:00:00,4
München,2020-03-15T12:00:00,38
München Stadt,2020-03-15T12:00:00,187
Neu-Ulm,2020-03-15T12:00:00,10
Neumarkt i.d.Opf.,2020-03-15T12:00:00,5
Neustadt a.d. Aisch-Bad Windsheim,2020-03-15T12:00:00,4
Neustadt a.d. Waldnaab,2020-03-15T12:00:00,1
Nürnberg Stadt,2020-03-15T12:00:00,24
Nürnberger Land,2020-03-15T12:00:00,2
Oberallgäu,2020-03-15T12:00:00,24
Ostallgäu,2020-03-15T12:00:00,10
Passau,2020-03-15T12:00:00,15
Passau Stadt,2020-03-15T12:00:00,3
Pfaffenhofen a.d.Ilm,2020-03-15T12:00:00,7
Regen,2020-03-15T12:00:00,6
Regensburg,2020-03-15T12:00:00,8
Regensburg Stadt,2020-03-15T12:00:00,6
Rosenheim,2020-03-15T12:00:00,17
Rosenheim Stadt,2020-03-15T12:00:00,1
Roth,2020-03-15T12:00:00,4
Rottal-Inn,2020-03-15T12:00:00,14
Schwabach Stadt,2020-03-15T12:00:00,1
Schwandorf,2020-03-15T12:00:00,7
Schweinfurt,2020-03-15T12:00:00,5
Starnberg,2020-03-15T12:00:00,42
Straubing Stadt,2020-03-15T12:00:00,4
Straubing-Bogen,2020-03-15T12:00:00,2
Tirschenreuth,2020-03-15T12:00:00,17
Traunstein,2020-03-15T12:00:00,10
Weiden Stadt,2020-03-15T12:00:00,6
Weilheim-Schongau,2020-03-15T12:00:00,13
Weißenburg-Gunzenhausen,2020-03-15T12:00:00,2
Würzburg,2020-03-15T12:00:00,26
Würzburg Stadt,2020-03-15T12:00:00,20
