Area,Date,Confirmed,Deaths
Brandenburg,2020-03-04T15:00:00,1,0
Berlin,2020-03-04T15:00:00,7,0
Baden-Württemberg,2020-03-04T15:00:00,50,0
Bayern,2020-03-04T15:00:00,48,0
Bremen,2020-03-04T15:00:00,3,0
Hessen,2020-03-04T15:00:00,12,0
Hamburg,2020-03-04T15:00:00,3,0
Mecklenburg-Vorpommern,2020-03-04T15:00:00,4,0
Niedersachsen,2020-03-04T15:00:00,7,0
Nordrhein-Westfalen,2020-03-04T15:00:00,115,0
Rheinland-Pfalz,2020-03-04T15:00:00,7,0
Saarland,2020-03-04T15:00:00,1,0
Schleswig-Holstein,2020-03-04T15:00:00,2,0
Sachsen,2020-03-04T15:00:00,1,0
Thüringen,2020-03-04T15:00:00,1,0
