Area,Confirmed,Deaths,EConfirmed,EDeaths
Baden-Württemberg,1105,3,1062,3
Bayern,1067,5,965,4
Berlin,300,0,300,0
Brandenburg,94,0,65,0
Bremen,56,0,56,0
Hamburg,260,0,255,0
Hessen,342,0,241,0
Mecklenburg-Vorpommern,51,0,36,0
Niedersachsen,391,0,272,0
Nordrhein-Westfalen,1541,5,1541,5
Rheinland-Pfalz,325,0,325,0
Saarland,85,0,32,0
Sachsen,140,0,103,0
Sachsen-Anhalt,77,0,40,0
Schleswig-Holstein,123,0,104,0
Thüringen,55,0,36,0
