Area,Date,Confirmed,Deaths,EConfirmed,EDeaths
Baden-Württemberg,2020-03-13T15:00:00,454,1,401,1
Bayern,2020-03-13T15:00:00,558,1,412,0
Berlin,2020-03-13T15:00:00,174,0,174,0
Brandenburg,2020-03-13T15:00:00,44,0,44,0
Bremen,2020-03-13T15:00:00,42,0,42,0
Hamburg,2020-03-13T15:00:00,99,0,99,0
Hessen,2020-03-13T15:00:00,148,0,94,0
Mecklenburg-Vorpommern,2020-03-13T15:00:00,33,0,21,0
Niedersachsen,2020-03-13T15:00:00,230,0,134,0
Nordrhein-Westfalen,2020-03-13T15:00:00,936,3,887,3
Rheinland-Pfalz,2020-03-13T15:00:00,102,0,102,0
Saarland,2020-03-13T15:00:00,40,0,30,0
Sachsen,2020-03-13T15:00:00,83,0,46,0
Sachsen-Anhalt,2020-03-13T15:00:00,42,0,29,0
Schleswig-Holstein,2020-03-13T15:00:00,48,0,45,0
Thüringen,2020-03-13T15:00:00,29,0,16,0
