Area,Date,Confirmed
Amberg-Sulzbach,2020-03-14T13:00:00,7
Amberg Stadt,2020-03-14T13:00:00,1
Aschaffenburg,2020-03-14T13:00:00,3
Aschaffenburg Stadt,2020-03-14T13:00:00,6
Augsburg,2020-03-14T13:00:00,25
Augsburg Stadt,2020-03-14T13:00:00,6
Bad Kissingen,2020-03-14T13:00:00,3
Bad Tölz,2020-03-14T13:00:00,6
Bamberg,2020-03-14T13:00:00,4
Bayreuth,2020-03-14T13:00:00,5
Cham,2020-03-14T13:00:00,20
Coburg,2020-03-14T13:00:00,3
Deggendorf,2020-03-14T13:00:00,1
Dingolfing-Landau,2020-03-14T13:00:00,8
Donau-Ries,2020-03-14T13:00:00,3
Ebersberg,2020-03-14T13:00:00,21
Eichstätt,2020-03-14T13:00:00,2
Erding,2020-03-14T13:00:00,11
Erlangen Stadt,2020-03-14T13:00:00,5
Erlangen-Höchstadt,2020-03-14T13:00:00,9
Forchheim,2020-03-14T13:00:00,4
Freising,2020-03-14T13:00:00,51
Fürstenfeldbruck,2020-03-14T13:00:00,15
Fürth,2020-03-14T13:00:00,3
Fürth Stadt,2020-03-14T13:00:00,7
Haßberge,2020-03-14T13:00:00,5
Hof,2020-03-14T13:00:00,1
Hof Stadt,2020-03-14T13:00:00,1
Ingolstadt Stadt,2020-03-14T13:00:00,1
Kaufbeuren Stadt,2020-03-14T13:00:00,1
Kelheim,2020-03-14T13:00:00,1
Kitzingen,2020-03-14T13:00:00,3
Kronach,2020-03-14T13:00:00,1
Landsberg am Lech,2020-03-14T13:00:00,3
Landshut,2020-03-14T13:00:00,2
Landshut Stadt,2020-03-14T13:00:00,1
Lindau (Bodensee),2020-03-14T13:00:00,12
Main-Spessart,2020-03-14T13:00:00,5
Memmingen Stadt,2020-03-14T13:00:00,1
Miesbach,2020-03-14T13:00:00,1
Miltenberg,2020-03-14T13:00:00,2
München,2020-03-14T13:00:00,32
München Stadt,2020-03-14T13:00:00,146
Neu-Ulm,2020-03-14T13:00:00,8
Neumarkt i.d.Opf.,2020-03-14T13:00:00,5
Neustadt a.d. Aisch-Bad Windsheim,2020-03-14T13:00:00,4
Neustadt a.d. Waldnaab,2020-03-14T13:00:00,1
Nürnberg Stadt,2020-03-14T13:00:00,21
Nürnberger Land,2020-03-14T13:00:00,2
Oberallgäu,2020-03-14T13:00:00,8
Ostallgäu,2020-03-14T13:00:00,10
Passau,2020-03-14T13:00:00,5
Passau Stadt,2020-03-14T13:00:00,1
Pfaffenhofen a.d.Ilm,2020-03-14T13:00:00,7
Regen,2020-03-14T13:00:00,6
Regensburg,2020-03-14T13:00:00,7
Regensburg Stadt,2020-03-14T13:00:00,3
Rosenheim,2020-03-14T13:00:00,17
Rosenheim Stadt,2020-03-14T13:00:00,1
Roth,2020-03-14T13:00:00,3
Rottal-Inn,2020-03-14T13:00:00,10
Schwabach Stadt,2020-03-14T13:00:00,1
Schwandorf,2020-03-14T13:00:00,7
Schweinfurt,2020-03-14T13:00:00,4
Starnberg,2020-03-14T13:00:00,34
Straubing Stadt,2020-03-14T13:00:00,3
Straubing-Bogen,2020-03-14T13:00:00,2
Tirschenreuth,2020-03-14T13:00:00,9
Traunstein,2020-03-14T13:00:00,8
Weiden Stadt,2020-03-14T13:00:00,4
Weilheim-Schongau,2020-03-14T13:00:00,8
Weißenburg-Gunzenhausen,2020-03-14T13:00:00,2
Würzburg,2020-03-14T13:00:00,16
Würzburg Stadt,2020-03-14T13:00:00,16
