Area,Date,Confirmed,Deaths,EConfirmed,EDeaths
Baden-Württemberg,2020-03-11T15:00:00,277,0,190,0
Bayern,2020-03-11T15:00:00,366,0,207,0
Berlin,2020-03-11T15:00:00,90,0,90,0
Brandenburg,2020-03-11T15:00:00,24,0,11,0
Bremen,2020-03-11T15:00:00,21,0,21,0
Hamburg,2020-03-11T15:00:00,48,0,17,0
Hessen,2020-03-11T15:00:00,48,0,28,0
Mecklenburg-Vorpommern,2020-03-11T15:00:00,17,0,11,0
Niedersachsen,2020-03-11T15:00:00,75,0,52,0
Nordrhein-Westfalen,2020-03-11T15:00:00,484,3,384,3
Rheinland-Pfalz,2020-03-11T15:00:00,25,0,25,0
Saarland,2020-03-11T15:00:00,14,0,6,0
Sachsen,2020-03-11T15:00:00,26,0,17,0
Sachsen-Anhalt,2020-03-11T15:00:00,15,0,6,0
Schleswig-Holstein,2020-03-11T15:00:00,27,0,14,0
Thüringen,2020-03-11T15:00:00,10,0,10,0
