Area,Date,Confirmed
Amberg-Sulzbach,2020-03-13T12:00:00,4
Aschaffenburg,2020-03-13T12:00:00,2
Bad Kissingen,2020-03-13T12:00:00,3
Bad Tölz,2020-03-13T12:00:00,5
Bayreuth,2020-03-13T12:00:00,5
Cham,2020-03-13T12:00:00,19
Deggendorf,2020-03-13T12:00:00,1
Dingolfing-Landau,2020-03-13T12:00:00,7
Donau-Ries,2020-03-13T12:00:00,3
Ebersberg,2020-03-13T12:00:00,19
Eichstätt,2020-03-13T12:00:00,1
Erding,2020-03-13T12:00:00,10
Erlangen-Höchstadt,2020-03-13T12:00:00,9
Forchheim,2020-03-13T12:00:00,4
Freising,2020-03-13T12:00:00,51
Fürstenfeldbruck,2020-03-13T12:00:00,6
Fürth,2020-03-13T12:00:00,2
Haßberge,2020-03-13T12:00:00,4
Hof,2020-03-13T12:00:00,1
Landsberg am Lech,2020-03-13T12:00:00,3
Landshut,2020-03-13T12:00:00,2
Lindau (Bodensee),2020-03-13T12:00:00,8
Main-Spessart,2020-03-13T12:00:00,1
Miesbach,2020-03-13T12:00:00,1
Miltenberg,2020-03-13T12:00:00,1
München,2020-03-13T12:00:00,22
Neumarkt i.d.Opf.,2020-03-13T12:00:00,2
Neustadt a.d. Aisch-Bad Windsheim,2020-03-13T12:00:00,4
Neustadt a.d. Waldnaab,2020-03-13T12:00:00,1
Neu-Ulm,2020-03-13T12:00:00,8
Nürnberger Land,2020-03-13T12:00:00,1
Oberallgäu,2020-03-13T12:00:00,6
Ostallgäu,2020-03-13T12:00:00,8
Passau,2020-03-13T12:00:00,5
Pfaffenhofen a.d.Ilm,2020-03-13T12:00:00,5
Regen,2020-03-13T12:00:00,3
Regensburg,2020-03-13T12:00:00,7
Rosenheim,2020-03-13T12:00:00,3
Roth,2020-03-13T12:00:00,3
Rottal-Inn,2020-03-13T12:00:00,6
Schwandorf,2020-03-13T12:00:00,7
Schweinfurt,2020-03-13T12:00:00,2
Starnberg,2020-03-13T12:00:00,16
Straubing-Bogen,2020-03-13T12:00:00,1
Tirschenreuth,2020-03-13T12:00:00,5
Traunstein,2020-03-13T12:00:00,4
Weilheim-Schongau,2020-03-13T12:00:00,8
Weißenburg-Gunzenhausen,2020-03-13T12:00:00,2
Würzburg,2020-03-13T12:00:00,16
Augsburg Stadt,2020-03-13T12:00:00,5
Erlangen Stadt,2020-03-13T12:00:00,5
Fürth Stadt,2020-03-13T12:00:00,6
Hof Stadt,2020-03-13T12:00:00,1
Ingolstadt Stadt,2020-03-13T12:00:00,1
Kaufbeuren Stadt,2020-03-13T12:00:00,1
Landshut Stadt,2020-03-13T12:00:00,1
München Stadt,2020-03-13T12:00:00,146
Nürnberg Stadt,2020-03-13T12:00:00,19
Passau Stadt,2020-03-13T12:00:00,1
Regensburg Stadt,2020-03-13T12:00:00,2
Rosenheim Stadt,2020-03-13T12:00:00,1
Schwabach Stadt,2020-03-13T12:00:00,1
Straubing Stadt,2020-03-13T12:00:00,2
Weiden Stadt,2020-03-13T12:00:00,4
Würzburg Stadt,2020-03-13T12:00:00,16
Bamberg,2020-03-13T12:00:00,4
Augsburg,2020-03-13T12:00:00,25
