Landkreis,Regierungsbezirk,Timestamp,Confirmed,Deaths
Aichach-Friedberg,Schwaben,2021-02-23T08:00:00+01:00,3474,79
Altötting,Oberbayern,2021-02-23T08:00:00+01:00,3847,159
Amberg Stadt,Oberpfalz,2021-02-23T08:00:00+01:00,914,12
Amberg-Sulzbach,Oberpfalz,2021-02-23T08:00:00+01:00,2920,110
Ansbach,Mittelfranken,2021-02-23T08:00:00+01:00,4821,129
Ansbach Stadt,Mittelfranken,2021-02-23T08:00:00+01:00,1245,38
Aschaffenburg,Unterfranken,2021-02-23T08:00:00+01:00,5682,179
Aschaffenburg Stadt,Unterfranken,2021-02-23T08:00:00+01:00,2169,90
Augsburg,Schwaben,2021-02-23T08:00:00+01:00,7563,167
Augsburg Stadt,Schwaben,2021-02-23T08:00:00+01:00,11947,323
Bad Kissingen,Unterfranken,2021-02-23T08:00:00+01:00,2251,81
Bad Tölz-Wolfratshausen,Oberbayern,2021-02-23T08:00:00+01:00,3494,57
Bamberg,Oberfranken,2021-02-23T08:00:00+01:00,3687,111
Bamberg Stadt,Oberfranken,2021-02-23T08:00:00+01:00,2098,93
Bayreuth,Oberfranken,2021-02-23T08:00:00+01:00,3306,127
Bayreuth Stadt,Oberfranken,2021-02-23T08:00:00+01:00,2248,87
Berchtesgadener Land,Oberbayern,2021-02-23T08:00:00+01:00,4267,92
Cham,Oberpfalz,2021-02-23T08:00:00+01:00,3767,114
Coburg,Oberfranken,2021-02-23T08:00:00+01:00,3271,139
Coburg Stadt,Oberfranken,2021-02-23T08:00:00+01:00,1600,86
Dachau,Oberbayern,2021-02-23T08:00:00+01:00,5725,125
Deggendorf,Niederbayern,2021-02-23T08:00:00+01:00,4289,120
Dillingen an der Donau,Schwaben,2021-02-23T08:00:00+01:00,2516,96
Dingolfing-Landau,Niederbayern,2021-02-23T08:00:00+01:00,3250,72
Donau-Ries,Schwaben,2021-02-23T08:00:00+01:00,3600,137
Ebersberg,Oberbayern,2021-02-23T08:00:00+01:00,4692,161
Eichstätt,Oberbayern,2021-02-23T08:00:00+01:00,3344,69
Erding,Oberbayern,2021-02-23T08:00:00+01:00,4989,88
Erlangen Stadt,Mittelfranken,2021-02-23T08:00:00+01:00,2778,81
Erlangen-Höchstadt,Mittelfranken,2021-02-23T08:00:00+01:00,3552,111
Forchheim,Oberfranken,2021-02-23T08:00:00+01:00,3299,96
Freising,Oberbayern,2021-02-23T08:00:00+01:00,5633,109
Freyung-Grafenau,Niederbayern,2021-02-23T08:00:00+01:00,3448,97
Fürstenfeldbruck,Oberbayern,2021-02-23T08:00:00+01:00,6948,119
Fürth,Mittelfranken,2021-02-23T08:00:00+01:00,3696,175
Fürth Stadt,Mittelfranken,2021-02-23T08:00:00+01:00,4798,178
Garmisch-Partenkirchen,Oberbayern,2021-02-23T08:00:00+01:00,2497,78
Günzburg,Schwaben,2021-02-23T08:00:00+01:00,4306,92
Haßberge,Unterfranken,2021-02-23T08:00:00+01:00,2408,68
Hof,Oberfranken,2021-02-23T08:00:00+01:00,3822,108
Hof Stadt,Oberfranken,2021-02-23T08:00:00+01:00,2194,67
Ingolstadt Stadt,Oberbayern,2021-02-23T08:00:00+01:00,4056,91
Kaufbeuren Stadt,Schwaben,2021-02-23T08:00:00+01:00,1461,47
Kelheim,Niederbayern,2021-02-23T08:00:00+01:00,3166,82
Kempten Stadt,Schwaben,2021-02-23T08:00:00+01:00,1558,33
Kitzingen,Unterfranken,2021-02-23T08:00:00+01:00,2167,76
Kronach,Oberfranken,2021-02-23T08:00:00+01:00,2190,57
Kulmbach,Oberfranken,2021-02-23T08:00:00+01:00,2228,92
Landsberg am Lech,Oberbayern,2021-02-23T08:00:00+01:00,2940,47
Landshut,Niederbayern,2021-02-23T08:00:00+01:00,5028,147
Landshut Stadt,Niederbayern,2021-02-23T08:00:00+01:00,2673,92
Lichtenfels,Oberfranken,2021-02-23T08:00:00+01:00,2150,56
Lindau (Bodensee),Schwaben,2021-02-23T08:00:00+01:00,2290,57
Main-Spessart,Unterfranken,2021-02-23T08:00:00+01:00,3154,184
Memmingen Stadt,Schwaben,2021-02-23T08:00:00+01:00,1211,17
Miesbach,Oberbayern,2021-02-23T08:00:00+01:00,3127,57
Miltenberg,Unterfranken,2021-02-23T08:00:00+01:00,4174,108
Mühldorf am Inn,Oberbayern,2021-02-23T08:00:00+01:00,4518,122
München,Oberbayern,2021-02-23T08:00:00+01:00,11111,239
München Stadt,Oberbayern,2021-02-23T08:00:00+01:00,53385,1070
Neu-Ulm,Schwaben,2021-02-23T08:00:00+01:00,4805,102
Neuburg-Schrobenhausen,Oberbayern,2021-02-23T08:00:00+01:00,2691,62
Neumarkt in der Oberpfalz,Oberpfalz,2021-02-23T08:00:00+01:00,4053,107
Neustadt an der Aisch-Bad Windsheim,Mittelfranken,2021-02-23T08:00:00+01:00,2657,64
Neustadt an der Waldnaab,Oberpfalz,2021-02-23T08:00:00+01:00,3902,141
Nürnberg Stadt,Mittelfranken,2021-02-23T08:00:00+01:00,23363,749
Nürnberger Land,Mittelfranken,2021-02-23T08:00:00+01:00,4810,153
Oberallgäu,Schwaben,2021-02-23T08:00:00+01:00,3679,56
Ostallgäu,Schwaben,2021-02-23T08:00:00+01:00,3850,103
Passau,Niederbayern,2021-02-23T08:00:00+01:00,9810,303
Passau Stadt,Niederbayern,2021-02-23T08:00:00+01:00,2667,105
Pfaffenhofen an der Ilm,Oberbayern,2021-02-23T08:00:00+01:00,3758,146
Regen,Niederbayern,2021-02-23T08:00:00+01:00,4162,151
Regensburg,Oberpfalz,2021-02-23T08:00:00+01:00,4948,139
Regensburg Stadt,Oberpfalz,2021-02-23T08:00:00+01:00,4210,61
Rhön-Grabfeld,Unterfranken,2021-02-23T08:00:00+01:00,2097,65
Rosenheim,Oberbayern,2021-02-23T08:00:00+01:00,10469,419
Rosenheim Stadt,Oberbayern,2021-02-23T08:00:00+01:00,2847,52
Roth,Mittelfranken,2021-02-23T08:00:00+01:00,3923,150
Rottal-Inn,Niederbayern,2021-02-23T08:00:00+01:00,5155,146
Schwabach Stadt,Mittelfranken,2021-02-23T08:00:00+01:00,1553,100
Schwandorf,Oberpfalz,2021-02-23T08:00:00+01:00,4747,111
Schweinfurt,Unterfranken,2021-02-23T08:00:00+01:00,3305,110
Schweinfurt Stadt,Unterfranken,2021-02-23T08:00:00+01:00,1507,58
Starnberg,Oberbayern,2021-02-23T08:00:00+01:00,3709,91
Straubing Stadt,Niederbayern,2021-02-23T08:00:00+01:00,1509,75
Straubing-Bogen,Niederbayern,2021-02-23T08:00:00+01:00,3390,117
Tirschenreuth,Oberpfalz,2021-02-23T08:00:00+01:00,4178,212
Traunstein,Oberbayern,2021-02-23T08:00:00+01:00,7407,190
Unterallgäu,Schwaben,2021-02-23T08:00:00+01:00,4041,115
Weiden in der Oberpfalz Stadt,Oberpfalz,2021-02-23T08:00:00+01:00,2024,67
Weilheim-Schongau,Oberbayern,2021-02-23T08:00:00+01:00,3200,51
Weißenburg-Gunzenhausen,Mittelfranken,2021-02-23T08:00:00+01:00,2603,101
Wunsiedel im Fichtelgebirge,Oberfranken,2021-02-23T08:00:00+01:00,3511,155
Würzburg,Unterfranken,2021-02-23T08:00:00+01:00,2978,55
Würzburg Stadt,Unterfranken,2021-02-23T08:00:00+01:00,2948,95
