Regierungsbezirk,Timestamp,Confirmed
Oberbayern,2020-03-27T10:00:00+01:00,4960
Niederbayern,2020-03-27T10:00:00+01:00,968
Oberpfalz,2020-03-27T10:00:00+01:00,940
Oberfranken,2020-03-27T10:00:00+01:00,771
Mittelfranken,2020-03-27T10:00:00+01:00,768
Unterfranken,2020-03-27T10:00:00+01:00,810
Schwaben,2020-03-27T10:00:00+01:00,963
