Regierungsbezirk,Timestamp,Confirmed,Deaths
Oberbayern,2020-09-28T08:00:00+02:00,31030,1033
Niederbayern,2020-09-28T08:00:00+02:00,6894,302
Oberpfalz,2020-09-28T08:00:00+02:00,6412,374
Oberfranken,2020-09-28T08:00:00+02:00,4703,246
Mittelfranken,2020-09-28T08:00:00+02:00,6868,292
Unterfranken,2020-09-28T08:00:00+02:00,4934,192
Schwaben,2020-09-28T08:00:00+02:00,6534,218
