Regierungsbezirk,Timestamp,Confirmed
Oberbayern,2020-03-20T10:00:00+01:00,1550
Niederbayern,2020-03-20T10:00:00+01:00,304
Oberpfalz,2020-03-20T10:00:00+01:00,289
Oberfranken,2020-03-20T10:00:00+01:00,176
Mittelfranken,2020-03-20T10:00:00+01:00,190
Unterfranken,2020-03-20T10:00:00+01:00,273
Schwaben,2020-03-20T10:00:00+01:00,325
