Landkreis,Regierungsbezirk,Timestamp,Confirmed
Aichach-Friedberg,Schwaben,2020-03-19T11:00:00+01:00,17
Altötting,Oberbayern,2020-03-19T11:00:00+01:00,7
Amberg Stadt,Oberpfalz,2020-03-19T11:00:00+01:00,2
Amberg-Sulzbach,Oberpfalz,2020-03-19T11:00:00+01:00,17
Ansbach,Mittelfranken,2020-03-19T11:00:00+01:00,8
Ansbach Stadt,Mittelfranken,2020-03-19T11:00:00+01:00,3
Aschaffenburg,Unterfranken,2020-03-19T11:00:00+01:00,26
Aschaffenburg Stadt,Unterfranken,2020-03-19T11:00:00+01:00,20
Augsburg,Schwaben,2020-03-19T11:00:00+01:00,41
Augsburg Stadt,Schwaben,2020-03-19T11:00:00+01:00,26
Bad Kissingen,Unterfranken,2020-03-19T11:00:00+01:00,9
Bad Tölz-Wolfratshausen,Oberbayern,2020-03-19T11:00:00+01:00,21
Bamberg,Oberfranken,2020-03-19T11:00:00+01:00,15
Bamberg Stadt,Oberfranken,2020-03-19T11:00:00+01:00,10
Bayreuth,Oberfranken,2020-03-19T11:00:00+01:00,9
Bayreuth Stadt,Oberfranken,2020-03-19T11:00:00+01:00,2
Berchtesgadener Land,Oberbayern,2020-03-19T11:00:00+01:00,8
Cham,Oberpfalz,2020-03-19T11:00:00+01:00,31
Coburg,Oberfranken,2020-03-19T11:00:00+01:00,12
Dachau,Oberbayern,2020-03-19T11:00:00+01:00,15
Deggendorf,Niederbayern,2020-03-19T11:00:00+01:00,26
Dillingen an der Donau,Schwaben,2020-03-19T11:00:00+01:00,1
Dingolfing-Landau,Niederbayern,2020-03-19T11:00:00+01:00,18
Donau-Ries,Schwaben,2020-03-19T11:00:00+01:00,9
Ebersberg,Oberbayern,2020-03-19T11:00:00+01:00,39
Eichstätt,Oberbayern,2020-03-19T11:00:00+01:00,6
Erding,Oberbayern,2020-03-19T11:00:00+01:00,35
Erlangen Stadt,Mittelfranken,2020-03-19T11:00:00+01:00,13
Erlangen-Höchstadt,Mittelfranken,2020-03-19T11:00:00+01:00,14
Forchheim,Oberfranken,2020-03-19T11:00:00+01:00,14
Freising,Oberbayern,2020-03-19T11:00:00+01:00,130
Freyung-Grafenau,Niederbayern,2020-03-19T11:00:00+01:00,14
Fürstenfeldbruck,Oberbayern,2020-03-19T11:00:00+01:00,24
Fürth,Mittelfranken,2020-03-19T11:00:00+01:00,4
Fürth Stadt,Mittelfranken,2020-03-19T11:00:00+01:00,12
Garmisch-Partenkirchen,Oberbayern,2020-03-19T11:00:00+01:00,20
Günzburg,Schwaben,2020-03-19T11:00:00+01:00,88
Haßberge,Unterfranken,2020-03-19T11:00:00+01:00,8
Hof,Oberfranken,2020-03-19T11:00:00+01:00,9
Hof Stadt,Oberfranken,2020-03-19T11:00:00+01:00,8
Ingolstadt Stadt,Oberbayern,2020-03-19T11:00:00+01:00,3
Kaufbeuren Stadt,Schwaben,2020-03-19T11:00:00+01:00,4
Kelheim,Niederbayern,2020-03-19T11:00:00+01:00,10
Kitzingen,Unterfranken,2020-03-19T11:00:00+01:00,7
Kronach,Oberfranken,2020-03-19T11:00:00+01:00,4
Kulmbach,Oberfranken,2020-03-19T11:00:00+01:00,11
Landsberg am Lech,Oberbayern,2020-03-19T11:00:00+01:00,14
Landshut,Niederbayern,2020-03-19T11:00:00+01:00,36
Landshut Stadt,Niederbayern,2020-03-19T11:00:00+01:00,12
Lichtenfels,Oberfranken,2020-03-19T11:00:00+01:00,5
Lindau (Bodensee),Schwaben,2020-03-19T11:00:00+01:00,23
Main-Spessart,Unterfranken,2020-03-19T11:00:00+01:00,9
Memmingen Stadt,Schwaben,2020-03-19T11:00:00+01:00,8
Miesbach,Oberbayern,2020-03-19T11:00:00+01:00,47
Miltenberg,Unterfranken,2020-03-19T11:00:00+01:00,15
