Landkreis,Regierungsbezirk,Timestamp,Confirmed,Deaths
Aichach-Friedberg,Schwaben,2020-06-25T10:00:00+02:00,389,20
Altötting,Oberbayern,2020-06-25T10:00:00+02:00,604,53
Amberg Stadt,Oberpfalz,2020-06-25T10:00:00+02:00,89,4
Amberg-Sulzbach,Oberpfalz,2020-06-25T10:00:00+02:00,496,54
Ansbach,Mittelfranken,2020-06-25T10:00:00+02:00,605,27
Ansbach Stadt,Mittelfranken,2020-06-25T10:00:00+02:00,151,8
Aschaffenburg,Unterfranken,2020-06-25T10:00:00+02:00,541,41
Aschaffenburg Stadt,Unterfranken,2020-06-25T10:00:00+02:00,116,1
Augsburg,Schwaben,2020-06-25T10:00:00+02:00,387,9
Augsburg Stadt,Schwaben,2020-06-25T10:00:00+02:00,432,15
Bad Kissingen,Unterfranken,2020-06-25T10:00:00+02:00,258,18
Bad Tölz-Wolfratshausen,Oberbayern,2020-06-25T10:00:00+02:00,428,10
Bamberg,Oberfranken,2020-06-25T10:00:00+02:00,428,36
Bamberg Stadt,Oberfranken,2020-06-25T10:00:00+02:00,202,22
Bayreuth,Oberfranken,2020-06-25T10:00:00+02:00,424,28
Bayreuth Stadt,Oberfranken,2020-06-25T10:00:00+02:00,209,11
Berchtesgadener Land,Oberbayern,2020-06-25T10:00:00+02:00,309,22
Cham,Oberpfalz,2020-06-25T10:00:00+02:00,430,21
Coburg,Oberfranken,2020-06-25T10:00:00+02:00,371,29
Coburg Stadt,Oberfranken,2020-06-25T10:00:00+02:00,111,1
Dachau,Oberbayern,2020-06-25T10:00:00+02:00,922,30
Deggendorf,Niederbayern,2020-06-25T10:00:00+02:00,328,15
Dillingen an der Donau,Schwaben,2020-06-25T10:00:00+02:00,264,29
Dingolfing-Landau,Niederbayern,2020-06-25T10:00:00+02:00,221,9
Donau-Ries,Schwaben,2020-06-25T10:00:00+02:00,353,23
Ebersberg,Oberbayern,2020-06-25T10:00:00+02:00,517,5
Eichstätt,Oberbayern,2020-06-25T10:00:00+02:00,303,18
Erding,Oberbayern,2020-06-25T10:00:00+02:00,638,11
Erlangen Stadt,Mittelfranken,2020-06-25T10:00:00+02:00,259,11
Erlangen-Höchstadt,Mittelfranken,2020-06-25T10:00:00+02:00,246,11
Forchheim,Oberfranken,2020-06-25T10:00:00+02:00,206,4
Freising,Oberbayern,2020-06-25T10:00:00+02:00,970,43
Freyung-Grafenau,Niederbayern,2020-06-25T10:00:00+02:00,195,12
Fürstenfeldbruck,Oberbayern,2020-06-25T10:00:00+02:00,909,35
Fürth,Mittelfranken,2020-06-25T10:00:00+02:00,491,58
Fürth Stadt,Mittelfranken,2020-06-25T10:00:00+02:00,408,38
Garmisch-Partenkirchen,Oberbayern,2020-06-25T10:00:00+02:00,293,18
Günzburg,Schwaben,2020-06-25T10:00:00+02:00,238,4
Haßberge,Unterfranken,2020-06-25T10:00:00+02:00,167,6
Hof,Oberfranken,2020-06-25T10:00:00+02:00,426,32
Hof Stadt,Oberfranken,2020-06-25T10:00:00+02:00,142,4
Ingolstadt Stadt,Oberbayern,2020-06-25T10:00:00+02:00,480,37
Kaufbeuren Stadt,Schwaben,2020-06-25T10:00:00+02:00,111,5
Kelheim,Niederbayern,2020-06-25T10:00:00+02:00,454,35
Kempten Stadt,Schwaben,2020-06-25T10:00:00+02:00,102,10
Kitzingen,Unterfranken,2020-06-25T10:00:00+02:00,192,3
Kronach,Oberfranken,2020-06-25T10:00:00+02:00,169,3
Kulmbach,Oberfranken,2020-06-25T10:00:00+02:00,244,11
Landsberg am Lech,Oberbayern,2020-06-25T10:00:00+02:00,367,10
Landshut,Niederbayern,2020-06-25T10:00:00+02:00,672,31
Landshut Stadt,Niederbayern,2020-06-25T10:00:00+02:00,280,9
Lichtenfels,Oberfranken,2020-06-25T10:00:00+02:00,299,17
Lindau (Bodensee),Schwaben,2020-06-25T10:00:00+02:00,241,8
Main-Spessart,Unterfranken,2020-06-25T10:00:00+02:00,157,6
Memmingen Stadt,Schwaben,2020-06-25T10:00:00+02:00,51,0
Miesbach,Oberbayern,2020-06-25T10:00:00+02:00,587,11
Miltenberg,Unterfranken,2020-06-25T10:00:00+02:00,305,5
Mühldorf am Inn,Oberbayern,2020-06-25T10:00:00+02:00,499,27
München,Oberbayern,2020-06-25T10:00:00+02:00,1442,92
München Stadt,Oberbayern,2020-06-25T10:00:00+02:00,6684,217
Neu-Ulm,Schwaben,2020-06-25T10:00:00+02:00,433,26
Neuburg-Schrobenhausen,Oberbayern,2020-06-25T10:00:00+02:00,333,18
Neumarkt in der Oberpfalz,Oberpfalz,2020-06-25T10:00:00+02:00,389,17
Neustadt an der Aisch-Bad Windsheim,Mittelfranken,2020-06-25T10:00:00+02:00,244,6
Neustadt an der Waldnaab,Oberpfalz,2020-06-25T10:00:00+02:00,828,71
Nürnberg Stadt,Mittelfranken,2020-06-25T10:00:00+02:00,1116,50
Nürnberger Land,Mittelfranken,2020-06-25T10:00:00+02:00,638,44
Oberallgäu,Schwaben,2020-06-25T10:00:00+02:00,189,7
Ostallgäu,Schwaben,2020-06-25T10:00:00+02:00,504,39
Passau,Niederbayern,2020-06-25T10:00:00+02:00,587,29
Passau Stadt,Niederbayern,2020-06-25T10:00:00+02:00,135,18
Pfaffenhofen an der Ilm,Oberbayern,2020-06-25T10:00:00+02:00,383,21
Regen,Niederbayern,2020-06-25T10:00:00+02:00,196,11
Regensburg,Oberpfalz,2020-06-25T10:00:00+02:00,505,15
Regensburg Stadt,Oberpfalz,2020-06-25T10:00:00+02:00,677,10
Rhön-Grabfeld,Unterfranken,2020-06-25T10:00:00+02:00,196,6
Rosenheim,Oberbayern,2020-06-25T10:00:00+02:00,2287,194
Rosenheim Stadt,Oberbayern,2020-06-25T10:00:00+02:00,515,23
Roth,Mittelfranken,2020-06-25T10:00:00+02:00,287,7
Rottal-Inn,Niederbayern,2020-06-25T10:00:00+02:00,734,48
Schwabach Stadt,Mittelfranken,2020-06-25T10:00:00+02:00,80,2
Schwandorf,Oberpfalz,2020-06-25T10:00:00+02:00,507,19
Schweinfurt,Unterfranken,2020-06-25T10:00:00+02:00,517,25
Schweinfurt Stadt,Unterfranken,2020-06-25T10:00:00+02:00,179,17
Starnberg,Oberbayern,2020-06-25T10:00:00+02:00,540,13
Straubing Stadt,Niederbayern,2020-06-25T10:00:00+02:00,428,48
Straubing-Bogen,Niederbayern,2020-06-25T10:00:00+02:00,552,29
Tirschenreuth,Oberpfalz,2020-06-25T10:00:00+02:00,1141,138
Traunstein,Oberbayern,2020-06-25T10:00:00+02:00,1326,88
Unterallgäu,Schwaben,2020-06-25T10:00:00+02:00,271,14
Weiden in der Oberpfalz Stadt,Oberpfalz,2020-06-25T10:00:00+02:00,337,20
Weilheim-Schongau,Oberbayern,2020-06-25T10:00:00+02:00,356,3
Weißenburg-Gunzenhausen,Mittelfranken,2020-06-25T10:00:00+02:00,333,25
Wunsiedel im Fichtelgebirge,Oberfranken,2020-06-25T10:00:00+02:00,660,39
Würzburg,Unterfranken,2020-06-25T10:00:00+02:00,422,7
Würzburg Stadt,Unterfranken,2020-06-25T10:00:00+02:00,473,52
