Regierungsbezirk,Timestamp,Confirmed
Oberbayern,2020-03-26T10:00:00+01:00,4456
Niederbayern,2020-03-26T10:00:00+01:00,782
Oberpfalz,2020-03-26T10:00:00+01:00,848
Oberfranken,2020-03-26T10:00:00+01:00,573
Mittelfranken,2020-03-26T10:00:00+01:00,647
Unterfranken,2020-03-26T10:00:00+01:00,685
Schwaben,2020-03-26T10:00:00+01:00,851
