Landkreis,Regierungsbezirk,Timestamp,Confirmed
Amberg-Sulzbach,Oberpfalz,2020-03-13T12:00:00+01:00,4
Aschaffenburg,Unterfranken,2020-03-13T12:00:00+01:00,2
Bad Kissingen,Unterfranken,2020-03-13T12:00:00+01:00,3
Bad Tölz-Wolfratshausen,Oberbayern,2020-03-13T12:00:00+01:00,5
Bayreuth,Oberfranken,2020-03-13T12:00:00+01:00,5
Cham,Oberpfalz,2020-03-13T12:00:00+01:00,19
Deggendorf,Niederbayern,2020-03-13T12:00:00+01:00,1
Dingolfing-Landau,Niederbayern,2020-03-13T12:00:00+01:00,7
Donau-Ries,Schwaben,2020-03-13T12:00:00+01:00,3
Ebersberg,Oberbayern,2020-03-13T12:00:00+01:00,19
Eichstätt,Oberbayern,2020-03-13T12:00:00+01:00,1
Erding,Oberbayern,2020-03-13T12:00:00+01:00,10
Erlangen-Höchstadt,Mittelfranken,2020-03-13T12:00:00+01:00,9
Forchheim,Oberfranken,2020-03-13T12:00:00+01:00,4
Freising,Oberbayern,2020-03-13T12:00:00+01:00,51
Fürstenfeldbruck,Oberbayern,2020-03-13T12:00:00+01:00,6
Fürth,Mittelfranken,2020-03-13T12:00:00+01:00,2
Haßberge,Unterfranken,2020-03-13T12:00:00+01:00,4
Hof,Oberfranken,2020-03-13T12:00:00+01:00,1
Landsberg am Lech,Oberbayern,2020-03-13T12:00:00+01:00,3
Landshut,Niederbayern,2020-03-13T12:00:00+01:00,2
Lindau (Bodensee),Schwaben,2020-03-13T12:00:00+01:00,8
Main-Spessart,Unterfranken,2020-03-13T12:00:00+01:00,1
Miesbach,Oberbayern,2020-03-13T12:00:00+01:00,1
Miltenberg,Unterfranken,2020-03-13T12:00:00+01:00,1
München,Oberbayern,2020-03-13T12:00:00+01:00,22
Neumarkt in der Oberpfalz,Oberpfalz,2020-03-13T12:00:00+01:00,2
Neustadt an der Aisch-Bad Windsheim,Mittelfranken,2020-03-13T12:00:00+01:00,4
Neustadt an der Waldnaab,Oberpfalz,2020-03-13T12:00:00+01:00,1
Neu-Ulm,Schwaben,2020-03-13T12:00:00+01:00,8
Nürnberger Land,Mittelfranken,2020-03-13T12:00:00+01:00,1
Oberallgäu,Schwaben,2020-03-13T12:00:00+01:00,6
Ostallgäu,Schwaben,2020-03-13T12:00:00+01:00,8
Passau,Niederbayern,2020-03-13T12:00:00+01:00,5
Pfaffenhofen an der Ilm,Oberbayern,2020-03-13T12:00:00+01:00,5
Regen,Niederbayern,2020-03-13T12:00:00+01:00,3
Regensburg,Oberpfalz,2020-03-13T12:00:00+01:00,7
Rosenheim,Oberbayern,2020-03-13T12:00:00+01:00,3
Roth,Mittelfranken,2020-03-13T12:00:00+01:00,3
Rottal-Inn,Niederbayern,2020-03-13T12:00:00+01:00,6
Schwandorf,Oberpfalz,2020-03-13T12:00:00+01:00,7
Schweinfurt,Unterfranken,2020-03-13T12:00:00+01:00,2
Starnberg,Oberbayern,2020-03-13T12:00:00+01:00,16
Straubing-Bogen,Niederbayern,2020-03-13T12:00:00+01:00,1
Tirschenreuth,Oberpfalz,2020-03-13T12:00:00+01:00,5
Traunstein,Oberbayern,2020-03-13T12:00:00+01:00,4
Weilheim-Schongau,Oberbayern,2020-03-13T12:00:00+01:00,8
Weißenburg-Gunzenhausen,Mittelfranken,2020-03-13T12:00:00+01:00,2
Würzburg,Unterfranken,2020-03-13T12:00:00+01:00,16
Augsburg Stadt,Schwaben,2020-03-13T12:00:00+01:00,5
Erlangen Stadt,Mittelfranken,2020-03-13T12:00:00+01:00,5
Fürth Stadt,Mittelfranken,2020-03-13T12:00:00+01:00,6
Hof Stadt,Oberfranken,2020-03-13T12:00:00+01:00,1
Ingolstadt Stadt,Oberbayern,2020-03-13T12:00:00+01:00,1
Kaufbeuren Stadt,Schwaben,2020-03-13T12:00:00+01:00,1
Landshut Stadt,Niederbayern,2020-03-13T12:00:00+01:00,1
München Stadt,Oberbayern,2020-03-13T12:00:00+01:00,146
Nürnberg Stadt,Mittelfranken,2020-03-13T12:00:00+01:00,19
Passau Stadt,Niederbayern,2020-03-13T12:00:00+01:00,1
Regensburg Stadt,Oberpfalz,2020-03-13T12:00:00+01:00,2
Rosenheim Stadt,Oberbayern,2020-03-13T12:00:00+01:00,1
Schwabach Stadt,Mittelfranken,2020-03-13T12:00:00+01:00,1
Straubing Stadt,Niederbayern,2020-03-13T12:00:00+01:00,2
Weiden in der Oberpfalz Stadt,Oberpfalz,2020-03-13T12:00:00+01:00,4
Würzburg Stadt,Unterfranken,2020-03-13T12:00:00+01:00,16
Bamberg,Oberfranken,2020-03-13T12:00:00+01:00,4
Augsburg,Schwaben,2020-03-13T12:00:00+01:00,25
