Landkreis,Regierungsbezirk,Timestamp,Confirmed
Aichach-Friedberg,Schwaben,2020-03-16T12:00:00+01:00,10
Amberg Stadt,Oberpfalz,2020-03-16T12:00:00+01:00,1
Amberg-Sulzbach,Oberpfalz,2020-03-16T12:00:00+01:00,7
Aschaffenburg,Unterfranken,2020-03-16T12:00:00+01:00,3
Aschaffenburg Stadt,Unterfranken,2020-03-16T12:00:00+01:00,6
Augsburg,Schwaben,2020-03-16T12:00:00+01:00,25
Augsburg Stadt,Schwaben,2020-03-16T12:00:00+01:00,9
Bad Kissingen,Unterfranken,2020-03-16T12:00:00+01:00,3
Bad Tölz-Wolfratshausen,Oberbayern,2020-03-16T12:00:00+01:00,10
Bamberg,Oberfranken,2020-03-16T12:00:00+01:00,9
Bamberg Stadt,Oberfranken,2020-03-16T12:00:00+01:00,2
Bayreuth,Oberfranken,2020-03-16T12:00:00+01:00,5
Cham,Oberpfalz,2020-03-16T12:00:00+01:00,21
Coburg,Oberfranken,2020-03-16T12:00:00+01:00,4
Dachau,Oberbayern,2020-03-16T12:00:00+01:00,14
Deggendorf,Niederbayern,2020-03-16T12:00:00+01:00,5
Dingolfing-Landau,Niederbayern,2020-03-16T12:00:00+01:00,13
Donau-Ries,Schwaben,2020-03-16T12:00:00+01:00,3
Ebersberg,Oberbayern,2020-03-16T12:00:00+01:00,27
Eichstätt,Oberbayern,2020-03-16T12:00:00+01:00,2
Erding,Oberbayern,2020-03-16T12:00:00+01:00,17
Erlangen Stadt,Mittelfranken,2020-03-16T12:00:00+01:00,6
Erlangen-Höchstadt,Mittelfranken,2020-03-16T12:00:00+01:00,10
Forchheim,Oberfranken,2020-03-16T12:00:00+01:00,4
Freising,Oberbayern,2020-03-16T12:00:00+01:00,74
Fürstenfeldbruck,Oberbayern,2020-03-16T12:00:00+01:00,22
Fürth,Mittelfranken,2020-03-16T12:00:00+01:00,3
Fürth Stadt,Mittelfranken,2020-03-16T12:00:00+01:00,9
Haßberge,Unterfranken,2020-03-16T12:00:00+01:00,6
Hof,Oberfranken,2020-03-16T12:00:00+01:00,4
Hof Stadt,Oberfranken,2020-03-16T12:00:00+01:00,3
Ingolstadt Stadt,Oberbayern,2020-03-16T12:00:00+01:00,1
Kaufbeuren Stadt,Schwaben,2020-03-16T12:00:00+01:00,1
Kelheim,Niederbayern,2020-03-16T12:00:00+01:00,4
Kitzingen,Unterfranken,2020-03-16T12:00:00+01:00,4
