Regierungsbezirk,Timestamp,Confirmed,Deaths
Oberbayern,2021-10-14T08:00:00+02:00,272453,4681
Niederbayern,2021-10-14T08:00:00+02:00,82538,1886
Oberpfalz,2021-10-14T08:00:00+02:00,64512,1553
Oberfranken,2021-10-14T08:00:00+02:00,61485,1680
Mittelfranken,2021-10-14T08:00:00+02:00,104353,2607
Unterfranken,2021-10-14T08:00:00+02:00,62204,1515
Schwaben,2021-10-14T08:00:00+02:00,107088,1902
