Landkreis,Regierungsbezirk,Timestamp,Confirmed,Deaths
Aichach-Friedberg,Schwaben,2021-11-06T08:00:00+01:00,7039,111
Altötting,Oberbayern,2021-11-06T08:00:00+01:00,8355,217
Amberg Stadt,Oberpfalz,2021-11-06T08:00:00+01:00,2446,33
Amberg-Sulzbach,Oberpfalz,2021-11-06T08:00:00+01:00,5838,166
Ansbach,Mittelfranken,2021-11-06T08:00:00+01:00,10708,201
Ansbach Stadt,Mittelfranken,2021-11-06T08:00:00+01:00,2387,46
Aschaffenburg,Unterfranken,2021-11-06T08:00:00+01:00,9707,216
Aschaffenburg Stadt,Unterfranken,2021-11-06T08:00:00+01:00,4429,119
Augsburg,Schwaben,2021-11-06T08:00:00+01:00,15384,255
Augsburg Stadt,Schwaben,2021-11-06T08:00:00+01:00,23540,434
Bad Kissingen,Unterfranken,2021-11-06T08:00:00+01:00,4610,110
Bad Tölz-Wolfratshausen,Oberbayern,2021-11-06T08:00:00+01:00,8767,93
Bamberg,Oberfranken,2021-11-06T08:00:00+01:00,7094,156
Bamberg Stadt,Oberfranken,2021-11-06T08:00:00+01:00,4028,106
Bayreuth,Oberfranken,2021-11-06T08:00:00+01:00,5667,166
Bayreuth Stadt,Oberfranken,2021-11-06T08:00:00+01:00,4051,113
Berchtesgadener Land,Oberbayern,2021-11-06T08:00:00+01:00,9724,110
Cham,Oberpfalz,2021-11-06T08:00:00+01:00,9367,192
Coburg,Oberfranken,2021-11-06T08:00:00+01:00,5687,164
Coburg Stadt,Oberfranken,2021-11-06T08:00:00+01:00,2766,93
Dachau,Oberbayern,2021-11-06T08:00:00+01:00,10916,153
Deggendorf,Niederbayern,2021-11-06T08:00:00+01:00,9211,163
Dillingen an der Donau,Schwaben,2021-11-06T08:00:00+01:00,5541,138
Dingolfing-Landau,Niederbayern,2021-11-06T08:00:00+01:00,8347,111
Donau-Ries,Schwaben,2021-11-06T08:00:00+01:00,8005,178
Ebersberg,Oberbayern,2021-11-06T08:00:00+01:00,8948,189
Eichstätt,Oberbayern,2021-11-06T08:00:00+01:00,6985,104
Erding,Oberbayern,2021-11-06T08:00:00+01:00,9560,123
