Landkreis,Regierungsbezirk,Timestamp,Confirmed,Deaths
Aichach-Friedberg,Schwaben,2022-04-04T08:00:00+02:00,41656,158
Altötting,Oberbayern,2022-04-04T08:00:00+02:00,39237,320
Amberg Stadt,Oberpfalz,2022-04-04T08:00:00+02:00,11644,54
Amberg-Sulzbach,Oberpfalz,2022-04-04T08:00:00+02:00,28634,210
Ansbach,Mittelfranken,2022-04-04T08:00:00+02:00,56238,256
Ansbach Stadt,Mittelfranken,2022-04-04T08:00:00+02:00,12647,62
Aschaffenburg,Unterfranken,2022-04-04T08:00:00+02:00,46560,274
Aschaffenburg Stadt,Unterfranken,2022-04-04T08:00:00+02:00,20082,153
Augsburg,Schwaben,2022-04-04T08:00:00+02:00,77986,384
Augsburg Stadt,Schwaben,2022-04-04T08:00:00+02:00,94060,626
Bad Kissingen,Unterfranken,2022-04-04T08:00:00+02:00,30569,184
Bad Tölz-Wolfratshausen,Oberbayern,2022-04-04T08:00:00+02:00,41576,172
Bamberg,Oberfranken,2022-04-04T08:00:00+02:00,48637,228
Bamberg Stadt,Oberfranken,2022-04-04T08:00:00+02:00,20226,137
Bayreuth,Oberfranken,2022-04-04T08:00:00+02:00,29212,209
Bayreuth Stadt,Oberfranken,2022-04-04T08:00:00+02:00,21128,157
Berchtesgadener Land,Oberbayern,2022-04-04T08:00:00+02:00,38855,183
Cham,Oberpfalz,2022-04-04T08:00:00+02:00,42940,265
Coburg,Oberfranken,2022-04-04T08:00:00+02:00,26286,203
Coburg Stadt,Oberfranken,2022-04-04T08:00:00+02:00,12596,113
Dachau,Oberbayern,2022-04-04T08:00:00+02:00,51378,223
Deggendorf,Niederbayern,2022-04-04T08:00:00+02:00,42089,270
Dillingen an der Donau,Schwaben,2022-04-04T08:00:00+02:00,31828,199
Dingolfing-Landau,Niederbayern,2022-04-04T08:00:00+02:00,34986,207
Donau-Ries,Schwaben,2022-04-04T08:00:00+02:00,44427,238
Ebersberg,Oberbayern,2022-04-04T08:00:00+02:00,44568,268
Eichstätt,Oberbayern,2022-04-04T08:00:00+02:00,42534,138
Erding,Oberbayern,2022-04-04T08:00:00+02:00,48092,170
Erlangen Stadt,Mittelfranken,2022-04-04T08:00:00+02:00,26837,128
Erlangen-Höchstadt,Mittelfranken,2022-04-04T08:00:00+02:00,39684,174
Forchheim,Oberfranken,2022-04-04T08:00:00+02:00,35861,173
Freising,Oberbayern,2022-04-04T08:00:00+02:00,54789,210
Freyung-Grafenau,Niederbayern,2022-04-04T08:00:00+02:00,29823,212
Fürstenfeldbruck,Oberbayern,2022-04-04T08:00:00+02:00,63993,222
Fürth,Mittelfranken,2022-04-04T08:00:00+02:00,34112,269
Fürth Stadt,Mittelfranken,2022-04-04T08:00:00+02:00,39801,302
Garmisch-Partenkirchen,Oberbayern,2022-04-04T08:00:00+02:00,26606,142
Günzburg,Schwaben,2022-04-04T08:00:00+02:00,42261,186
Haßberge,Unterfranken,2022-04-04T08:00:00+02:00,29015,140
Hof,Oberfranken,2022-04-04T08:00:00+02:00,28194,237
Hof Stadt,Oberfranken,2022-04-04T08:00:00+02:00,14942,155
Ingolstadt Stadt,Oberbayern,2022-04-04T08:00:00+02:00,44654,232
Kaufbeuren Stadt,Schwaben,2022-04-04T08:00:00+02:00,13763,101
Kelheim,Niederbayern,2022-04-04T08:00:00+02:00,40548,152
Kempten Stadt,Schwaben,2022-04-04T08:00:00+02:00,22441,85
Kitzingen,Unterfranken,2022-04-04T08:00:00+02:00,27214,125
Kronach,Oberfranken,2022-04-04T08:00:00+02:00,22107,159
Kulmbach,Oberfranken,2022-04-04T08:00:00+02:00,20807,148
Landsberg am Lech,Oberbayern,2022-04-04T08:00:00+02:00,35797,122
Landshut,Niederbayern,2022-04-04T08:00:00+02:00,53022,286
Landshut Stadt,Niederbayern,2022-04-04T08:00:00+02:00,22461,166
Lichtenfels,Oberfranken,2022-04-04T08:00:00+02:00,22227,156
Lindau (Bodensee),Schwaben,2022-04-04T08:00:00+02:00,25325,92
Main-Spessart,Unterfranken,2022-04-04T08:00:00+02:00,32223,238
Memmingen Stadt,Schwaben,2022-04-04T08:00:00+02:00,14406,37
Miesbach,Oberbayern,2022-04-04T08:00:00+02:00,30707,170
Miltenberg,Unterfranken,2022-04-04T08:00:00+02:00,39512,205
Mühldorf am Inn,Oberbayern,2022-04-04T08:00:00+02:00,45072,296
München,Oberbayern,2022-04-04T08:00:00+02:00,97368,357
München Stadt,Oberbayern,2022-04-04T08:00:00+02:00,450035,1926
Neu-Ulm,Schwaben,2022-04-04T08:00:00+02:00,52616,233
Neuburg-Schrobenhausen,Oberbayern,2022-04-04T08:00:00+02:00,33539,119
Neumarkt in der Oberpfalz,Oberpfalz,2022-04-04T08:00:00+02:00,37774,234
Neustadt an der Aisch-Bad Windsheim,Mittelfranken,2022-04-04T08:00:00+02:00,27313,142
Neustadt an der Waldnaab,Oberpfalz,2022-04-04T08:00:00+02:00,31880,221
Nürnberg Stadt,Mittelfranken,2022-04-04T08:00:00+02:00,164478,1203
Nürnberger Land,Mittelfranken,2022-04-04T08:00:00+02:00,47569,269
Oberallgäu,Schwaben,2022-04-04T08:00:00+02:00,48953,164
Ostallgäu,Schwaben,2022-04-04T08:00:00+02:00,47135,243
Passau,Niederbayern,2022-04-04T08:00:00+02:00,69202,545
Passau Stadt,Niederbayern,2022-04-04T08:00:00+02:00,16617,144
Pfaffenhofen an der Ilm,Oberbayern,2022-04-04T08:00:00+02:00,41677,234
Regen,Niederbayern,2022-04-04T08:00:00+02:00,30281,248
Regensburg,Oberpfalz,2022-04-04T08:00:00+02:00,64806,247
Regensburg Stadt,Oberpfalz,2022-04-04T08:00:00+02:00,47770,147
Rhön-Grabfeld,Unterfranken,2022-04-04T08:00:00+02:00,26000,133
Rosenheim,Oberbayern,2022-04-04T08:00:00+02:00,89460,699
Rosenheim Stadt,Oberbayern,2022-04-04T08:00:00+02:00,21956,123
Roth,Mittelfranken,2022-04-04T08:00:00+02:00,38893,222
Rottal-Inn,Niederbayern,2022-04-04T08:00:00+02:00,44708,333
Schwabach Stadt,Mittelfranken,2022-04-04T08:00:00+02:00,12220,131
Schwandorf,Oberpfalz,2022-04-04T08:00:00+02:00,49159,271
Schweinfurt,Unterfranken,2022-04-04T08:00:00+02:00,36283,202
Schweinfurt Stadt,Unterfranken,2022-04-04T08:00:00+02:00,18023,133
Starnberg,Oberbayern,2022-04-04T08:00:00+02:00,36848,162
Straubing Stadt,Niederbayern,2022-04-04T08:00:00+02:00,14429,125
Straubing-Bogen,Niederbayern,2022-04-04T08:00:00+02:00,36250,186
Tirschenreuth,Oberpfalz,2022-04-04T08:00:00+02:00,23701,297
Traunstein,Oberbayern,2022-04-04T08:00:00+02:00,67687,336
Unterallgäu,Schwaben,2022-04-04T08:00:00+02:00,50079,248
Weiden in der Oberpfalz Stadt,Oberpfalz,2022-04-04T08:00:00+02:00,13555,111
Weilheim-Schongau,Oberbayern,2022-04-04T08:00:00+02:00,40576,177
Weißenburg-Gunzenhausen,Mittelfranken,2022-04-04T08:00:00+02:00,29456,160
Wunsiedel im Fichtelgebirge,Oberfranken,2022-04-04T08:00:00+02:00,22225,242
Würzburg,Unterfranken,2022-04-04T08:00:00+02:00,46141,126
Würzburg Stadt,Unterfranken,2022-04-04T08:00:00+02:00,40674,183
