Regierungsbezirk,Timestamp,Confirmed,Deaths
Oberbayern,2021-06-09T08:00:00+02:00,223514,4382
Niederbayern,2021-06-09T08:00:00+02:00,72728,1820
Oberpfalz,2021-06-09T08:00:00+02:00,57015,1476
Oberfranken,2021-06-09T08:00:00+02:00,56136,1644
Mittelfranken,2021-06-09T08:00:00+02:00,90283,2497
Unterfranken,2021-06-09T08:00:00+02:00,53626,1450
Schwaben,2021-06-09T08:00:00+02:00,90058,1792
